sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1767,0,0,0,0,0,0,0,248,131,0,0,0,507,0,0,0,881,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,185541,0,0,20,84,0,0,9,542,1469,0,412,2,181853,0,27,0,963,0,160,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,194801,153347,31,1929,0,1,177,1041,1148,1902,8,21771,1129,4305,41,2937,3,1323,3698,13,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,41638,7040,58,983,319,3,468,14989,2447,854,12,1436,50,4986,2279,3739,0,1846,27,102,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,41649,0,0,36,0,0,5000,20,566,0,24,5015,20910,1828,0,0,0,8240,10,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,4016,0,0,72,0,16,0,3131,558,0,0,0,0,173,0,0,0,0,66,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,31,0,0,0,0,0,0,0,21,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,15083,1441,0,212,147,19,7684,64,301,0,12,516,1,643,2755,59,0,1229,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1099,0,0,55,0,0,0,8,664,176,0,0,0,12,0,182,0,0,2,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1736,39,0,1,8,0,91,1069,3,446,5,2,7,58,0,7,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1123,2,0,45,0,0,0,943,120,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,7698,0,0,120,0,0,0,0,53,491,0,0,6688,346,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1958,0,0,19,0,0,7,0,795,0,0,0,1098,20,0,0,0,19,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,786,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,3909,0,748,0,0,0,0,2,1102,0,4,0,0,62,0,1985,0,0,6,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,22765,9731,0,106,0,0,0,9,3,47,0,71,220,5220,46,4276,151,1566,1190,280,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,4323,0,4,0,0,0,57,686,9,3531,0,0,0,35,0,0,0,1,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,3669,102,0,321,0,0,0,9,21,0,0,0,1,106,2,19,0,1,3071,16,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,4025591,266081,965,34868,390,1296,613,30089,9847,913,190,86059,3536,12673,1620,3523786,289,14220,37826,619,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,7533,83,0,26,1,168,175,1240,1984,846,1,0,1,1985,1011,0,0,0,2,10,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1094,0,0,84,0,0,0,0,35,0,0,0,849,126,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,140,0,0,0,0,0,0,0,0,0,0,0,139,1,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,72456,5846,0,23202,2375,40,4454,1431,1102,0,134,1219,0,274,17358,1878,0,12394,749,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,7668,80,0,0,0,463,0,8,6,4342,21,0,23,2715,0,0,0,10,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,53871,0,0,53660,0,0,0,0,0,0,0,0,122,83,0,0,0,6,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,761,6,0,254,4,0,0,3,0,0,0,0,0,145,16,167,0,29,0,137,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,36709,2,3,0,0,15,0,2823,26977,4520,4,0,0,51,0,46,233,2268,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,324107,45380,2859,8630,115,6918,47,88137,120954,1410,35,7332,1472,16935,1994,9287,0,4437,8132,33,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,17436,25,0,58,0,0,82,2,37,142,0,0,1,17037,5,47,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,3221,0,0,0,0,0,0,413,275,585,0,0,1929,8,0,0,0,0,0,11,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,1986,1867,0,0,0,0,1,475,0,0,0,0,0,522,867,0,0,0,0,0,2,0,0,0,0
