sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,44007,27742,0,196,3264,0,118,55,961,912,0,3081,0,162,3705,98,0,2795,259,14,645,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,6713,6600,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,19277,18010,0,28,0,0,0,0,0,0,0,330,3,261,95,0,0,290,260,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,17162,80,18,5469,0,2,12,0,1065,33,45,11,5615,2018,2421,180,0,192,1,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,1539,445,0,68,0,0,0,0,39,0,0,0,2,448,38,0,13,161,338,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,12,0,0,0,0,0,3,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,64,2,0,0,0,0,0,46,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,10166,0,0,2801,0,0,0,0,122,6931,0,0,312,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,51,1,0,0,0,0,0,0,0,0,0,0,0,7,1,3,0,14,25,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,217,0,0,152,0,0,0,0,0,0,0,0,26,0,0,5,0,0,34,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,246,71,0,0,13,0,5,0,6,0,4,4,0,2,35,85,0,1,20,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,23,0,0,0,0,0,0,0,0,5,1,0,0,17,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,104,0,0,0,0,0,0,0,0,0,0,0,0,92,0,12,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,1986,36,12,0,0,3,1,0,0,0,0,0,1,0,11,0,8,0,0,0,0,0,0,0,0
