sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,1506,1400,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,0,0,11,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,15748,3345,6,4157,1,0,5,79,161,0,0,2945,14,288,1571,53,565,3014,109,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,34,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,14,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,10,0,0,0,0,0,2,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,1540,15,1,0,0,0,0,0,0,0,0,0,0,3,0,94,0,1427,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,303025,266330,28,1420,67,6,128,2152,1814,6,23,955,71,1998,5738,3826,2884,12049,6414,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,47,4,0,2,0,1,0,0,5,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,65,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,6627,5239,0,0,0,0,0,0,0,0,0,0,0,149,0,1102,0,137,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,3149,224,0,1,2,0,0,2648,2,0,0,7,3,226,2,11,17,23,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,150,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,564,7,0,0,0,0,30,2,86,0,0,0,0,38,0,401,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,17342,80,78,19,1,0,0,3093,66,0,0,0,10,2038,5923,513,0,3118,2403,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,30,6,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,2850,0,0,0,0,0,0,0,0,0,22,0,15,16,2797,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,24006,63,0,12,0,0,0,77,686,0,0,0,4,1,332,22793,0,38,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,6056,0,0,0,0,0,0,0,0,0,0,0,0,6050,0,6,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,190866,190866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,13548,9699,0,9,1,2,0,11,16,153,6,16,0,195,29,2812,0,99,500,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,3989,1168,0,0,0,0,0,7,19,0,0,43,3,505,1525,130,0,234,355,0,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1986,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,323,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,109,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,220,0,0,0,0,0,0,0,0,0,0,0,0,8,0,208,0,0,4,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,18157,5544,13,3485,0,0,0,83,17,0,0,4630,5,166,1833,25,513,2150,206,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,537,17,0,0,0,0,0,0,0,0,0,200,0,320,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,37,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,39,0,0,0,0,0,0,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,295,0,0,0,0,0,0,44,4,0,0,0,228,0,0,1,0,18,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,2340,1267,0,0,0,0,0,0,0,0,0,0,0,3,0,45,0,989,36,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,67,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,287125,260129,143,2112,8,12,123,1787,1762,6,29,920,21,1579,1005,2499,756,8385,6605,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,4895,3589,0,0,0,0,0,0,0,0,0,0,0,199,0,1085,0,22,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,652,0,0,0,0,0,0,0,300,0,0,352,0,0,0,0,2852,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,3885,89,0,100,0,0,0,3622,0,0,0,14,0,39,0,2,25,19,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,51,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,500,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,677,7,0,7,0,0,22,1,222,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,16527,1598,18,6,0,0,0,2724,23,0,0,20,2,1852,2069,93,0,6222,1900,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,1987,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0
