sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,553402,434882,0,0,0,0,102939,0,0,7886,0,0,0,0,7602,0,0,93,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,5623706,2863294,0,0,0,0,0,0,0,71312,0,0,0,2645631,38818,35,32,62,1632,2922,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,4401,0,0,0,0,0,0,0,0,0,0,0,4401,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,98476,15800,0,0,5,0,0,0,18,51565,0,254,1,0,17587,0,0,1005,12240,1,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,96533,0,0,0,0,0,0,0,25,184,0,5,500,5743,90076,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,2591160,2578990,17,0,0,0,50,23,0,0,0,0,5,366,7350,0,7,18,3807,534,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,296011,19168,425,10563,718,6269,8136,1979,5297,15554,1056,22400,4085,71036,77075,33341,423,6054,7654,5201,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,9368,867,515,87,5,2,2,123,114,4810,5,0,1,108,702,1830,0,8,189,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,9778,0,0,0,0,0,0,0,9778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CN,China,country,East Asia and Pacific,35.86166,104.195397,1986,359429,0,0,359429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
