sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,766544,369177,0,0,20244,0,10220,40,0,0,0,255493,11,0,111350,9,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,3961,0,0,0,0,0,0,0,0,0,0,565,0,0,3396,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,24133,1252,0,0,0,0,5,0,0,0,0,0,0,1,5584,323,0,0,16968,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,97431,60000,0,0,0,0,0,1476,5409,0,0,0,0,0,13592,140,0,14615,2199,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,1392625,1324803,16872,10,45966,6,0,2,3,0,2,0,54,168,3,141,0,0,4595,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,29,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,22688,21356,0,3,1249,0,0,0,5,0,0,5,3,0,4,61,0,0,2,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,28092,0,0,0,17324,0,0,0,0,0,0,0,0,0,4580,0,0,6188,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,301,0,0,0,0,0,0,0,296,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,2153,8,0,0,0,0,0,0,0,0,0,114,1,1058,966,6,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,1986,128,9,9,0,0,0,0,2,3,0,0,0,0,5,0,100,0,0,0,0,0,0,0,0
