sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,3100.16310663668,1986,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,12897.2230545685,1986,56254,55638,0,14,284,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,12494.4319614218,1986,382,75,0,0,17,0,0,0,0,0,0,1,0,15,0,0,0,259,15,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2086.01381962715,1986,638,53,0,7,30,0,0,0,0,0,18,0,9,2,0,0,0,0,519,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2889.06903558662,1986,14237,9616,24,32,471,0,2,23,52,26,0,3535,23,66,54,98,0,4,211,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,10512.2007532906,1986,2445,0,0,0,0,20,0,0,191,0,0,0,1411,387,396,11,0,29,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1089.98064856512,1986,305,0,0,76,0,0,0,0,34,0,0,12,0,8,0,0,0,175,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,9189.05930545259,1986,69680,69496,0,0,158,0,0,3,0,0,2,0,3,16,0,2,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,7794.56015784003,1986,157,0,0,0,0,0,74,0,13,0,37,1,0,32,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,6262.72633043062,1986,773,10,0,0,0,9,726,1,0,0,16,0,3,8,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,8317.89661766935,1986,18,0,0,0,0,0,0,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,11318.5930082135,1986,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,5020.92149742369,1986,99,0,0,0,0,0,12,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,10428.5166341995,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2190.51719572971,1986,1267,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,47,15,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2967.85689085559,1986,4150,73,0,2028,0,0,2,4,21,0,0,559,13,7,172,80,11,1030,161,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,12092.8840735454,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,957.886476065658,1986,159,0,0,4,0,0,0,2,0,0,16,0,9,53,74,1,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,3031.61113214144,1986,562,0,0,5,0,0,0,0,0,0,0,0,2,0,0,18,0,63,474,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,2885.91552831721,1986,54737,48638,2,916,0,0,0,0,33,0,2,824,92,183,2730,396,53,349,572,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1119.11444029595,1986,32185,441,3,86,52,109,167,0,67,7,11,16015,106,82,13016,2023,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,11827.0593464908,1986,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,5185.31302328119,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1771.63885356014,1986,736,0,0,301,0,0,0,0,0,0,0,0,0,0,16,0,0,419,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,4717.63463958137,1986,31,0,0,0,0,1,0,1,0,0,10,0,9,10,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,9205.43589097535,1986,28,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1894.98999370622,1986,269,0,0,0,0,254,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,966.943898729008,1986,63,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,3817.83927780648,1986,3440,8,2530,10,0,0,0,0,0,0,0,10,0,166,0,38,0,547,131,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,473.166283575675,1986,712,67,0,153,33,58,34,8,7,10,0,237,1,35,25,0,2,0,44,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,1960.11346144744,1986,9339,2270,0,75,0,81,3,5,11,0,0,1323,32,75,5360,104,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,10633.785783503,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,8922.56110404362,1986,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,569.606993780109,1986,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,3940.43166631809,1986,10,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,264.276383631237,1986,215,0,0,2,20,0,0,0,0,0,0,0,0,175,0,7,0,11,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,6165.23431039189,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
