sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,2231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,7177,0,0,0,0,0,0,0,2307,110,0,0,0,0,4760,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,9180,0,0,0,0,0,0,0,0,8199,0,0,0,0,0,0,0,0,0,981,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,4646,468,106,9,0,0,0,4,47,42,0,27,221,789,2244,340,0,0,349,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,166,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,5076,110,0,10,0,0,0,0,0,823,0,5,67,29,117,25,31,0,201,3689,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,88369,0,0,0,0,0,0,0,0,99,0,86644,736,0,890,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,44303,0,2023,0,0,0,0,10048,26036,0,0,0,0,6186,0,9,0,1,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,5217,0,0,0,512,0,3512,0,0,0,0,0,0,0,0,0,0,18,21,1154,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,38997,0,0,0,0,0,0,0,30110,0,0,0,8822,65,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,404,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,131935,0,0,130563,0,0,0,0,0,0,0,0,0,23,0,1349,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,6333,0,0,0,0,0,0,0,2420,37,0,0,0,0,0,3876,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,1282,1,0,0,0,0,0,0,4,0,0,0,0,15,0,46,0,17,51,1148,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,34341,10814,0,0,0,0,0,50,9215,14172,6,0,0,84,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,1377,0,0,0,0,0,0,0,28,0,0,3,105,0,146,575,0,0,79,441,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,4893,1035,0,74,50,0,185,25,2,381,0,1411,18,251,103,475,24,1,55,827,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,45352,0,369,125,0,59,0,1,38165,1435,0,0,36,4532,0,31,0,0,0,599,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,959,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,365229,201622,20612,1325,223,0,0,39187,41187,0,180,0,90,1209,34456,14499,5241,9532,1107,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,115878,0,0,0,0,408,0,111,20,3924,927,107983,1292,1026,187,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,13473,0,0,0,0,0,0,0,0,0,20,0,0,13453,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,3163,0,0,5,0,0,0,0,0,105,0,0,0,57,0,5,0,0,15,2976,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,1592,0,0,0,0,0,0,0,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,39888,54,429,580,0,845,5,570,33824,0,0,245,166,583,42,1353,0,0,7,1185,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,240,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,14901,0,0,0,0,0,0,0,0,0,0,0,0,14901,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,5330,0,0,0,0,0,0,0,0,0,76,0,5254,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,9203,81,3798,89,27,3,797,4,0,0,14,31,293,1627,234,156,129,0,57,1992,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,2756,0,0,0,0,0,0,0,0,2555,0,0,0,0,0,0,0,0,201,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,68,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,9,47,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,60,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,1643,0,0,0,0,0,0,0,0,0,0,0,1643,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,103205,21502,21108,0,161,0,0,28585,30387,230,0,0,0,1082,0,150,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,26,0,0,0,0,0,12,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,56716,0,0,363,0,1022,1,1120,42249,0,16,0,26,25,324,11570,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,3155,0,0,0,0,0,0,0,0,0,0,0,0,3155,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,4877,0,0,0,0,0,0,0,0,0,0,53,0,0,22,10,0,0,9,4783,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,307,0,0,19,0,0,0,0,0,0,0,19,72,93,6,0,0,0,98,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,6932,0,0,0,0,0,0,0,0,6932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,1444,0,0,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,20533,0,0,0,2043,536,0,57,16703,0,22,0,0,1172,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,5223,7,0,18,0,0,17,1,0,2169,7,99,68,240,8,453,129,0,0,2136,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,15405,62,0,0,0,0,0,0,0,69,0,0,1420,243,0,39,0,31,0,13541,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,7427,0,0,0,0,0,0,0,3118,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,94259,0,0,0,0,0,0,0,0,64658,0,0,0,0,0,29601,0,0,0,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,608,0,0,0,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,14661,412,0,391,4,0,3,1837,5588,1,0,519,188,3975,2,1728,0,5,8,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1986,982,0,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4569,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,361267,0,0,0,0,0,0,0,7518,97,0,353642,0,0,0,0,0,10,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,7311,0,0,0,0,0,0,0,0,7191,0,0,0,0,0,0,0,0,0,120,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,6689,626,112,9,0,0,2574,3,59,15,0,118,128,454,1603,760,2,0,228,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,10603,91,0,33,0,0,0,6,0,627,0,0,67,13,281,31,0,4048,0,5406,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,372803,0,0,0,0,0,0,0,27,58,0,368600,4100,3,15,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,42603,0,0,0,0,0,0,8878,22833,0,0,0,0,5991,0,4265,0,636,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,1987,1778,200,19,0,568,0,0,0,0,0,0,0,0,18,0,0,0,0,25,948,0,0,0,0
