sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1986,7597,0,0,0,0,0,0,0,8,0,0,0,0,0,7589,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1987,1163,0,0,0,0,0,0,0,53,0,0,0,160,0,950,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1988,3677,446,0,0,0,33,18,0,0,142,0,0,3038,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1988,29,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1989,19400,0,0,0,0,30,17100,0,0,180,0,0,2089,0,0,0,0,0,0,1,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1989,14996,9,0,0,3118,0,320,122,2,11409,11,0,0,5,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1989,294,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1990,3459,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,0,0,0,0,0
MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1990,22153,0,0,21724,0,0,0,0,173,0,0,0,233,20,0,3,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1990,5014,14,0,3300,0,0,68,4,215,1340,66,0,0,7,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1990,277,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,101,0,0,0,0,0,0,0,84,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,1151856,77803,0,22414,1013,0,388775,5909,46623,37575,58,501653,2601,6596,10329,553,0,49954,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,128328,10678,0,2754,170,107,707,15783,32013,57585,1,64,137,791,500,614,0,4704,104,1616,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,272406,20362,160,14129,111,222,14492,13889,7520,3319,38,16362,3454,5441,22434,80067,28,16474,41887,12022,23,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,1718215,251472,63346,38498,12167,3158,26197,358379,89287,9760,70,138954,37839,75950,92946,53923,37,210574,248514,1618,5563,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,3482,0,0,0,0,62,0,0,0,34,0,30,3356,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3794,0,2,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,994764,1,6,872,6,193,152412,317,25305,2382,7414,612611,120986,32409,1237,1096,0,34291,86,0,3140,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,15550,0,0,0,0,0,0,0,0,1499,0,1510,6961,1580,4000,0,2,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,50737,5342,21,2377,17603,332,12491,1911,7217,47,5,641,50,1797,0,185,532,326,230,162,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,79705,1460,0,1355,107,1083,0,17925,46607,472,57,0,0,9730,1,633,0,275,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,35415,845,1,36,110,73,1945,20103,3910,1208,253,27,11,6383,31,391,0,0,87,1,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,4321,192,6,123,0,0,7,2733,126,44,0,9,139,360,345,236,0,0,1,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,362333,0,0,73,0,0,453,9,139030,6284,0,0,212094,4390,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,442280,3,403,0,0,0,109,905,415476,0,77,0,25283,24,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DE,Germany,country,Europe and Central Asia,51.165691,10.451526,1991,1683743,438346,16965,60586,236303,93,61145,29169,19026,374,71,221935,3791,122244,54385,152834,2730,179617,84521,1882,456,0,0,0
