sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,21,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,404,17,7,9,0,0,0,1,0,0,15,0,0,2,200,153,19,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,394,0,0,380,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,78,7,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,51,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,72,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,54,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,622,0,0,562,0,0,0,0,0,0,0,3,0,0,0,57,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,1535,0,0,0,0,0,0,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,389,5,0,2,0,0,0,0,0,0,0,0,4,52,0,298,0,15,13,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,33,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,189,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,600,8,54,50,0,0,0,176,0,0,0,0,0,25,0,10,0,1,276,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DM,Dominica,country,Latin America and the Caribbean,15.414999,-61.370976,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
