sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,25631,23347,0,0,1679,0,0,0,0,0,0,0,0,0,547,0,0,58,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,8777,586,0,0,0,0,0,4,0,0,0,103,0,0,7,0,0,1,8076,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,22699,0,0,0,0,0,0,0,0,0,30,3732,0,7,18930,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,6623,5169,0,0,71,0,0,2,1,0,0,0,0,25,355,13,0,39,948,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,183,0,0,0,0,0,0,0,0,0,14,0,0,167,0,2,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,198,0,0,0,0,0,0,62,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,417,412,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,10575,10500,0,0,0,0,0,0,0,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,824,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,816,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,205,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,15317,5935,0,0,2,0,0,0,0,0,0,0,0,163,8402,207,0,0,608,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,619,0,0,0,0,0,0,0,0,0,0,0,0,288,0,3,0,28,300,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,361,0,0,0,0,0,0,1,31,0,0,1,0,5,197,87,0,39,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,367,0,0,201,0,0,0,0,0,2,161,0,0,0,0,3,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,53,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,3231,1193,7,0,0,0,0,10,0,0,0,260,0,756,0,5,0,1,999,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,8077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8076,0,0,0,0,0
PG,Papua New Guinea,country,East Asia and Pacific,-6.314993,143.95555,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,250,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,424,0,0,0,0,0,0,0,0,0,212,0,0,212,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,14692,4009,0,121,0,15,656,436,97,0,50,18,20,37,8657,576,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,591,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,363,36,0,0,0,0,0,0,0,0,8,0,0,26,0,0,0,0,293,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,1986,1274,86,0,94,0,1,0,0,0,0,0,4,2,10,0,816,0,15,246,0,0,0,0,0
