sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,4334.80749105347,1987,207,0,0,85,0,0,12,4,0,0,0,0,0,0,17,89,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10374.5765181916,1987,15750,15750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2991.86179546095,1987,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,9657.37098771894,1987,1096,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15,0,0,1054,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,3200.9536115952,1987,93,0,0,69,0,0,0,0,0,0,0,0,0,10,5,9,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,6937.38548494733,1987,16254,15613,0,11,0,0,19,0,0,0,0,0,0,249,0,0,0,0,362,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,3829.41804914309,1987,1980,0,0,5,0,36,0,141,96,0,0,0,0,284,0,1418,36,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,17390.0920467956,1987,48,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,16846.551351892,1987,5,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,833.515933611319,1987,4132,37,0,4017,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,1429.36327406439,1987,278,0,0,0,0,0,1,0,0,0,0,270,0,0,0,7,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2600.01227736353,1987,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10437.0797333681,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10045.2529837602,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SV,El Salvador,country,Latin America and the Caribbean,13.794185,-88.89653,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2103.16296461796,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10923.9784669786,1987,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,9429.40723483369,1987,1502,0,0,1145,0,0,5,0,0,0,0,0,0,1,0,233,0,0,118,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,11011.2701655125,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2366.91496215325,1987,12661,0,0,12661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2403.97548369327,1987,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,2093.36604939825,1987,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,16793.4109242017,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,18658.9705893793,1987,2131,0,0,0,0,0,0,0,0,0,0,0,0,2131,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,8872.9110488254,1987,191,0,0,0,0,0,0,0,0,2,0,0,0,189,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,12309.9569932682,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,10217.0291893975,1987,4129,0,0,3800,0,0,0,0,0,0,0,187,0,10,82,50,0,0,0,0,0,0,0,0
