sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,4165.09051616649,1998,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,3848.65398985474,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG,Antigua & Barbuda,country,Latin America and the Caribbean,17.060816,-61.796428,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,8221.10973335107,1998,98,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,13510.9986747101,1998,13125,37,0,1,0,5,14,5,387,0,0,10362,34,0,674,83,0,0,1523,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,2501.48688639707,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,13476.521498585,1998,4521,3,0,0,1,0,0,0,9,0,0,0,0,2,0,14,0,1379,3113,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,1414.44889641786,1998,1784,92,0,0,0,0,0,35,162,0,14,621,494,58,0,268,0,40,0,0,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,2599.35171177162,1998,154,0,0,0,0,0,0,17,47,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,8343.0859405645,1998,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,25,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,4149.27175195533,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,8453.62172558632,1998,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,573.441386991867,1998,2746,774,1544,0,0,0,0,275,20,7,1,0,5,0,0,19,0,0,101,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,1593.09697594238,1998,19771,3812,81,3851,0,16,11,1126,1169,864,0,4167,113,174,3707,400,0,187,93,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,9676.36054134214,1998,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,EE,Estonia,country,Europe and Central Asia,58.595272,25.013607,5814.66284992056,1998,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
