sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1993,2156,0,0,0,0,0,0,0,63,0,0,0,0,0,2093,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,12670,6499,0,3084,0,0,0,0,0,0,0,0,0,0,2187,0,0,0,900,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,56161,56011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,1501,21,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,7432,7333,0,2,0,0,0,54,11,0,0,0,1,9,0,11,0,0,10,1,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,1778,1405,0,0,0,0,0,0,0,0,0,0,0,0,340,18,0,0,15,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1994,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,19004,8506,0,9500,0,0,0,0,0,0,0,0,0,0,990,8,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,2758,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,1502,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,29035,28500,0,22,0,0,0,0,0,0,0,0,0,0,14,19,0,0,480,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,151,146,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,4542,3876,25,1,0,0,0,344,60,1,0,22,2,45,8,56,0,100,2,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,3887,2680,0,0,0,0,0,0,0,0,0,0,0,5,1194,0,2,0,8,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,127,0,0,0,0,0,0,0,0,0,0,0,0,6,0,121,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1995,155,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,ER,Eritrea,country,Sub-Saharan Africa,15.179384,39.782334,1996,443,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0
