sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,6204.29653179016,1986,857,0,0,0,0,0,0,0,0,17,0,0,0,840,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,2010.35405080444,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1469.65473528297,1986,155,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,Andorra,country,Europe and Central Asia,42.546245,1.601554,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,502.5877573869,1986,24505,0,0,0,0,0,0,0,0,0,0,0,23,4,80,24173,0,25,184,16,0,0,0,0
AO,Angola,country,Sub-Saharan Africa,-11.202692,17.873887,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,6168.0619990405,1986,1663,0,0,0,0,0,0,0,0,0,0,0,1663,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,10683.2530616728,1986,504762,56371,0,2858,11407,0,203195,0,216,2749,0,206893,88,3250,11496,1476,0,3573,6,1184,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,15771.2652786068,1986,54202,11522,0,751,75,0,36,0,1,12183,0,2,0,237,0,0,0,24,529,28842,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1656.86040247762,1986,9020,10,0,1005,2,0,295,1498,517,73,0,60,416,358,4,68,0,537,3275,902,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,6907.35650890195,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,8663.99737618064,1986,1846,0,0,0,0,0,0,0,0,1838,0,0,8,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,1286.85828632885,1986,61507,2516,2664,619,236,15,406,1538,1016,3324,13,5867,473,3229,4619,1568,14,8340,24127,937,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,8352.25007414087,1986,7583,0,0,7583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
