sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1665,0,0,0,0,0,782,0,850,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,78935,0,0,0,21,0,0,140,2690,0,0,0,0,73290,0,9,0,315,0,2470,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,964,128,0,47,0,0,4,190,203,0,27,0,48,251,0,66,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,8636,431,4,110,0,11,66,434,2249,670,12,2353,636,1342,5,10,0,102,200,1,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,11116,0,0,43,0,0,0,320,2183,300,0,2,7638,620,0,0,0,10,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,2719,0,0,0,0,0,0,65,2550,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,9488,6633,14,0,109,0,634,5,264,20,213,1141,0,356,0,27,0,0,0,72,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1012,0,0,0,0,15,0,0,970,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,122,0,0,0,0,0,0,56,0,14,0,0,0,52,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,421,0,0,0,0,0,0,406,2,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,19404,0,0,0,0,0,0,0,0,57,0,0,19235,112,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,5888,0,0,0,0,0,0,0,0,0,0,0,5888,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,651,0,0,0,0,0,0,0,645,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,66924,15216,2,1222,20,1,216,499,1380,22,16,25430,529,19283,477,1536,8,226,620,229,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,293,0,0,0,0,0,0,0,45,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,19490,0,0,0,0,0,0,0,0,0,0,0,0,19417,0,0,0,0,0,73,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,32044,266,3,299,0,23,12,472,17126,248,1,4715,34,648,12,7847,0,6,315,17,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,5990,0,0,7,0,0,700,35,4570,0,0,0,0,475,1,202,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,3484,0,0,0,0,0,20,0,7,0,143,0,3314,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,254,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,13736,49,0,3,0,0,736,2781,4913,0,2,0,15,0,2650,2570,0,17,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,133,0,0,0,0,0,0,0,0,0,46,0,66,21,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1173,0,0,0,0,0,0,0,70,0,60,0,0,1032,0,0,0,0,0,11,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,623,0,0,66,0,0,0,0,1,0,0,10,6,297,0,224,0,0,0,19,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,35187,0,0,0,0,0,0,5118,30002,0,0,0,0,0,0,50,0,17,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,15519,1317,0,57,0,26,10,2832,7730,180,0,45,22,413,46,2821,0,0,16,4,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1304,0,0,1,0,0,69,0,7,0,0,0,0,1208,0,19,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,2254,0,0,0,0,0,0,1,289,0,0,0,1944,15,0,0,0,0,0,5,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,313,0,0,0,0,0,0,0,0,0,0,0,72,241,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,3845,0,0,0,0,0,0,0,41,0,0,0,0,3788,16,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,200,0,0,87,0,0,35,0,36,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,22472,0,0,0,0,0,0,6,22454,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,42891,1195,1807,2720,128,136,3645,10329,3551,99,121,2248,3763,8675,1060,1946,0,107,1036,325,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,2256,0,0,0,0,0,0,3,1401,60,0,704,0,2,0,0,0,75,0,11,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,74889,262,0,213,0,0,0,2,5,44,1,5408,244,68340,130,199,0,0,0,41,0,0,0,0
PG,Papua New Guinea,country,East Asia and Pacific,-6.314993,143.95555,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,173,0,0,0,0,12,0,132,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,3030,0,0,0,0,0,25,0,2875,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,6355,0,0,0,0,0,0,206,5726,0,0,0,0,344,0,0,0,79,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1127,0,0,0,0,0,51,798,4,10,0,0,0,1,0,263,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,134,0,0,0,0,0,0,0,15,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,217,0,0,0,0,0,18,3,35,0,49,0,0,112,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,57176,8390,0,331,0,26,211,18384,27485,0,99,335,31,125,12,1740,0,0,0,7,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,150,0,0,0,0,0,0,0,0,0,0,0,71,79,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,111983,12528,148,4230,56,230,324,4428,1705,37,71,13884,5011,54406,2883,286,0,242,10287,1227,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,3411,41,0,66,0,0,0,4,312,12,0,0,564,2280,18,18,0,0,96,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,4660,637,0,0,0,0,0,0,3834,0,0,2,0,187,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,3381,0,0,0,2,20,2,638,2259,156,0,0,0,176,0,117,0,0,11,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,35655,1498,99,760,110,200,69,90,239,566,24,4687,1777,14844,487,3616,7,27,76,6486,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,40573,18362,0,432,167,786,3162,1047,10966,2359,22,40,0,2915,3,184,0,2,2,124,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,270,0,0,0,0,0,0,0,264,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,13474,9391,0,0,0,0,0,0,1214,2525,0,0,0,344,0,0,0,0,0,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,1580,0,0,0,0,0,0,30,380,5,0,24,0,3,0,1138,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1986,250,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,4121,2141,0,0,0,0,485,10,798,10,0,0,0,0,0,549,0,128,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,3074,0,0,0,0,0,0,105,2618,0,0,0,0,0,0,63,0,241,32,15,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,2407,349,0,28,0,0,6,1014,146,0,29,0,40,492,0,303,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,8587,618,162,117,0,1,48,3931,1061,524,13,158,298,1415,35,45,0,2,159,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,32341,0,0,12029,0,0,0,1183,2880,0,0,5,15564,595,0,0,0,85,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,3104,0,0,0,0,0,0,121,2883,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,14625,13466,71,8,0,0,442,23,252,37,49,18,0,192,0,43,0,0,0,24,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,773,0,0,0,0,1,0,0,752,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,89,0,0,0,0,0,0,21,2,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,16454,51,0,0,100,0,133,1279,387,0,32,14312,100,60,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,598,5,0,4,0,0,0,577,2,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,16810,0,0,0,0,0,0,0,0,52,0,0,16663,95,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,9293,0,0,0,0,0,0,0,20,0,0,0,9273,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,1087,0,0,0,0,0,0,0,1080,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FI,Finland,country,Europe and Central Asia,61.92411,25.748151,1987,61602,2629,1,1320,93,1,192,1319,1562,17,16,27105,496,23732,371,1602,8,413,538,195,0,0,0,0
