sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,34,4,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,18230,2093,604,1547,0,9,37,1398,1747,5,12,3879,423,837,409,1344,0,1447,2439,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,2700,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1145,3,0,0,0,0,0,0,0,0,0,290,0,4,16,0,0,829,3,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,8,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,22,0,1,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,6088,522,2496,11,0,0,0,60,48,0,0,2574,34,52,0,38,0,24,229,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,39,6,0,5,0,0,0,0,0,1,0,3,2,22,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,85,0,0,0,0,0,0,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1427,520,0,6,0,0,0,0,1,0,0,0,5,8,0,78,0,626,183,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1986,1200,810,35,13,0,0,0,0,9,11,0,8,192,10,0,2,0,81,6,23,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,8,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,21852,2333,684,1599,0,8,44,1283,1892,6,11,6792,401,801,391,1346,13,1834,2427,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,36,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,3850,2,0,0,0,0,0,0,42,0,0,3032,0,1,11,0,0,759,3,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,FO,Faroe Islands,country,Europe and Central Asia,61.892635,-6.911806,1987,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
