sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,7007.04531934947,1993,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,4750.07325895216,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,3381.56102310102,1993,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,8679.10166913625,1993,2931,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,2912,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,13178.3957105558,1993,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,5386.53877402718,1993,18,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,5751.72649652558,1993,11029,7836,159,65,0,0,45,233,23,0,0,95,4,248,553,111,3,1553,104,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1525.96438324403,1993,494,16,398,1,44,0,0,29,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,7145.66863630061,1993,1834,0,0,37,0,0,0,3,55,0,3,1242,23,0,0,0,0,471,0,0,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,2055.87550611881,1993,27,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,913.615795788296,1993,452,112,96,0,0,0,57,0,0,0,0,176,0,11,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,11781.6009125827,1993,2721,2022,3,0,0,0,0,8,5,0,0,0,0,27,0,108,0,545,3,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1325.03903113879,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1972.18952364206,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,9347.65665829784,1993,55,0,0,0,0,0,0,9,41,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,11338.4687072997,1993,53,24,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,10304.4550077972,1993,3319,3265,0,0,0,0,0,9,0,0,0,0,40,2,0,1,0,2,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,12022.542292024,1993,25,0,0,6,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,9571.74243712119,1993,145,134,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
CG,"Congo, Rep.",country,Sub-Saharan Africa,-0.228021,15.827659,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,473.901320547977,1993,70,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,10622.2578433953,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,2119.21111851454,1993,1127,186,2,94,6,60,0,8,8,0,5,0,167,100,491,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,9988.47430361099,1993,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,4598.68849498064,1993,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,12244.9596865992,1993,28,1,0,0,0,0,0,0,1,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,1184.69166004742,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,5315.92214346421,1993,66581,39150,565,70,13,3,113,2238,1261,12,23,4283,203,1924,112,1962,111,10677,3972,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,5786.24162214867,1993,4535,2869,1,4,0,0,0,54,0,0,0,1,3,44,1,15,0,1292,251,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,4560.21824532192,1993,20,7,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,GA,Gabon,country,Sub-Saharan Africa,-0.803689,11.609444,2646.56639538762,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
