sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,20,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,430,106,0,1,0,0,1,2,2,0,0,0,2,8,275,33,102,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,992,1,0,200,20,0,0,0,0,0,0,0,0,0,0,0,0,3,768,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,229,1,0,0,0,0,0,0,5,0,0,0,1,19,0,6,0,145,52,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,1343,1300,0,0,0,0,0,0,3,0,0,0,0,0,2,24,0,0,14,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,183,0,0,2,0,0,0,0,0,0,0,0,2,0,0,24,0,78,77,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,218,0,0,0,0,0,0,0,26,0,0,0,1,36,0,88,0,3,64,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,1000,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,GD,Grenada,country,Latin America and the Caribbean,12.262776,-61.604171,1986,1907,37,609,11,0,0,0,350,5,0,0,9,3,20,0,25,0,6,832,0,0,0,0,0
