sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,286.976826760563,2000,106,0,0,0,0,0,0,86,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2328.78974365424,2000,5532,33,0,0,0,0,1,0,0,0,0,0,0,898,4057,532,0,11,0,0,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,428.050888651498,2000,3766,408,0,6,432,0,0,0,18,108,0,190,0,10,2076,161,0,0,0,357,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,3081.02206498995,2000,601,15,0,0,0,0,0,2,0,0,0,0,159,205,0,0,0,217,3,0,0,0,0,0
BT,Bhutan,country,South Asia,27.514162,90.433601,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,4535.68492225739,2000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,11508.9840323279,2000,53439,0,0,39814,0,0,0,0,0,0,0,0,0,0,0,0,0,13625,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1464.16116649667,2000,7481,6904,0,0,0,0,0,351,0,0,27,0,3,40,37,27,0,92,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,8713.92352916045,2000,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,11885.1333000375,2000,3620,0,0,0,0,0,0,0,3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2293.42722968915,2000,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,6729.14640956363,2000,219,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2863.75242697567,2000,1155,1019,0,0,0,0,21,27,0,0,1,0,0,0,0,36,0,36,15,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,12700.0859480084,2000,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,3270.9932149229,2000,1431,74,0,0,0,0,0,0,0,0,0,374,0,2,0,67,0,914,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2669.18173355162,2000,597,30,0,12,279,0,3,4,24,0,0,0,2,13,48,89,0,54,39,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1847.59639493027,2000,69077,0,0,66596,0,0,0,0,2153,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1953.14799377017,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,4108.81223166465,2000,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1428.37992361517,2000,1048,0,0,0,19,0,50,204,74,6,0,689,0,5,0,0,0,0,1,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1464.57606243813,2000,2197,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,2119,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2529.86582498168,2000,5237,2277,0,0,0,0,0,733,0,0,36,0,21,1792,288,83,0,0,7,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,3036.28090296234,2000,1437,0,0,850,0,0,0,8,45,0,0,0,361,3,4,112,0,0,54,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,16055.3057048377,2000,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,2108.24216472449,2000,140658,137195,0,0,0,0,0,0,0,0,0,0,0,0,3463,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,4288.18244004216,2000,59,0,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,Moldova,country,Europe and Central Asia,47.411631,28.369885,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,1308.63330950903,2000,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,4537.00597097288,2000,4586,224,349,8,0,0,0,507,385,0,38,588,2053,156,0,6,78,58,214,0,0,0,0,0
