sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,2253.84082432256,1998,239867,239794,0,0,0,0,0,0,2,0,1,0,0,21,0,0,0,49,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,8266.48347325882,1998,3887,3410,0,17,0,0,0,0,0,0,0,233,0,0,196,0,0,31,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,14876.2597124181,1998,648,3,0,0,0,0,0,2,0,0,0,0,0,8,0,44,15,237,354,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,4645.32530609109,1998,27,0,0,0,0,0,0,0,13,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,8275.56622578828,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,4764.68099921932,1998,9597,6816,27,478,0,0,0,72,37,0,0,414,1,163,371,20,562,721,477,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,9491.6380458508,1998,405,179,0,18,0,0,0,1,17,0,0,0,1,7,80,30,0,71,1,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,397.496164792037,1998,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,4383.98810707901,1998,198,0,0,41,0,0,0,0,28,0,0,0,32,2,0,45,0,50,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,6139.35852334659,1998,67507,592,0,66737,0,7,0,0,0,0,0,0,0,0,156,0,12,15,0,0,0,0,0,0
