sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,3,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,1125,224,0,7,0,0,0,15,0,0,0,0,9,2,77,0,0,37,754,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,185,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,159,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,55,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,1213,20,0,552,0,0,0,0,8,0,0,0,0,2,5,69,0,526,31,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,13,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,645,14,0,1,0,0,0,0,3,0,0,0,3,1,126,286,0,23,188,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,343,0,0,29,0,0,0,0,0,0,0,0,12,14,0,19,0,187,82,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,372,39,38,1,0,0,0,90,85,18,0,0,7,5,25,28,0,36,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,33107,0,35,0,0,0,3,50,19,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,4236,95,776,54,3,4,3,253,528,2,0,4,122,16,33,1305,0,205,833,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,297,37,215,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,4,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,32,0,0,0,0,0,0,0,0,0,1,0,0,7,24,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,52675,64,485,9,9,137,50,800,273,173,0,0,39,46,16,50421,0,1,152,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,42,0,0,0,0,0,0,0,0,0,0,0,13,29,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,9132,1390,35,620,2,36,0,369,233,6,5,104,305,651,194,2814,0,637,1710,21,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1986,240,50,0,0,0,0,0,14,7,0,0,0,0,58,0,0,0,111,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,4188,0,0,0,4152,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,1149,332,4,10,3,1,0,12,0,0,0,0,13,0,39,0,0,5,730,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,13027,0,0,0,0,0,4000,0,0,0,0,8877,0,2,0,0,0,148,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,347,0,0,0,0,0,200,78,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,136,0,0,0,0,0,0,0,129,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,986,21,0,433,0,0,0,0,5,0,0,0,1,4,3,49,0,441,29,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,611,13,25,1,0,0,0,13,19,0,0,0,13,1,118,184,0,132,92,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,220,0,0,0,0,0,16,5,165,21,0,0,0,0,0,13,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,458,0,0,31,0,0,0,0,0,0,0,0,17,43,0,25,0,276,66,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,468,78,0,1,0,0,0,91,112,1,0,0,1,33,23,85,0,29,14,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,5373,87,1220,119,0,1,6,400,670,3,0,3,68,42,55,1387,0,166,1146,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,GI,Gibraltar,country,Europe and Central Asia,36.137741,-5.345374,1987,3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3736,0,0,0,0,0,0
