sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,17390.8708137686,1997,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,8381.84340264915,1997,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,930.118033654973,1997,1491,388,0,0,0,0,0,6,5,0,0,0,0,612,337,84,0,56,3,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,3502.46764988416,1997,572,0,0,0,369,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,2262.04470303053,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,7069.46783171859,1997,4535,89,3102,12,376,5,10,223,52,0,1,98,59,41,140,210,0,97,20,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,16910.0574407299,1997,512,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,15174.2012471056,1997,493,0,0,0,0,0,9,480,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,16858.3990151396,1997,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1705.14104972691,1997,230,14,0,1,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,2793.17949352843,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,8249.27916892144,1997,626,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,1968.59751385483,1997,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,9262.75943043692,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,7436.78478165897,1997,732,601,0,0,0,0,0,0,1,0,0,0,3,125,0,2,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,8168.6219358246,1997,1908,1632,0,0,198,0,0,0,2,0,0,0,0,3,0,2,0,0,71,0,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,6410.58079375295,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,3630.4951843227,1997,94,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,14634.8235471079,1997,139,0,0,0,0,0,0,0,0,0,126,0,12,1,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,19122.7272317259,1997,31,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,11815.6598299508,1997,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,7082.24766761354,1997,564,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,557,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,8128.72713731588,1997,211,0,0,0,0,0,0,190,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,2483.66097055032,1997,622,414,0,0,0,0,5,2,16,0,0,0,18,144,0,15,0,8,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,15127.8536716989,1997,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,10777.2498855511,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,11856.2549475107,1997,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,5119.7678873642,1997,263,24,0,0,238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,7854.28663904211,1997,10410,18,5625,3,98,0,0,3156,2,0,121,6,3,39,150,53,0,0,1136,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,13359.1259750909,1997,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,0,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,7475.74327724219,1997,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,8324.98183279466,1997,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,2449.75247633671,1997,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,GY,Guyana,country,Latin America and the Caribbean,4.860416,-58.93018,6369.84593347498,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
