sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,545,0,0,0,95,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,2946,2500,0,100,0,0,0,0,0,0,0,48,0,0,50,0,0,0,248,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,17,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,6,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,4499,1704,0,0,1157,0,7,0,0,0,0,12,0,24,625,0,10,102,868,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,284,2,0,0,0,0,19,1,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,82,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,872,162,0,0,21,0,19,84,154,0,3,98,79,120,5,1,0,126,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,280,751,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,329,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,201,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,1646,1500,0,0,0,0,0,0,0,0,0,109,0,0,0,22,0,0,15,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,6725,1262,1,85,0,0,123,675,3774,0,13,64,17,630,2,11,189,65,3,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,1331,0,0,0,0,0,0,0,0,0,0,0,11,431,0,0,0,0,889,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,67,7,0,0,0,0,0,0,45,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,12723,47,0,0,0,0,0,0,12609,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,1619,143,0,5,0,0,0,0,0,0,3,0,8,359,18,111,0,0,972,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,1986,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0
