sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,138,10,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,18,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,113408,100285,375,1835,37,5,743,1768,1752,23,26,595,510,109,87,3220,0,1508,530,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,22649,15188,454,3053,0,0,0,158,1456,0,0,216,24,19,1711,21,0,348,1,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,5215,159,235,0,0,0,1,114,28,0,0,0,8,40,125,674,0,1550,2226,55,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,49,0,0,22,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,260,100,0,24,4,0,0,0,0,0,0,0,0,0,16,0,0,100,16,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,12638,6000,225,1790,497,0,0,20,455,0,0,106,46,151,44,409,0,2791,104,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,93435,50846,765,33107,0,70,81,495,142,156,31,158,142,909,2603,782,0,2137,1008,3,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,2199,40,0,0,0,0,0,1425,30,0,0,672,0,15,17,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,193788,15077,235,115219,6113,2,29,6387,1845,9,58,15863,0,8,12042,3298,69,9569,7898,136,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,102521,49287,1366,33818,33,124,76,472,811,184,31,8199,184,1085,3837,780,21,1583,150,501,0,0,0,0
LT,Lithuania,country,Europe and Central Asia,55.169438,23.881275,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,26250,3151,4461,695,357,3,357,5385,745,0,0,230,106,86,3183,416,92,5944,1131,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,1607,0,0,941,0,3,0,0,201,0,0,0,0,0,37,0,0,391,34,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,222358,8419,1768,12879,23,93,1341,3100,12450,262,407,10829,1011,469,7268,70119,4338,34675,57211,34,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,2879,0,0,38,0,0,0,0,86,0,0,0,1,21,0,2733,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,869,587,20,50,16,0,0,0,1,0,2,0,4,5,100,0,0,73,11,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,730,40,0,4,0,0,0,23,0,0,0,5,42,30,505,0,0,22,59,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1992,31242,5693,0,0,2051,3,21218,0,0,31,0,0,0,288,1875,83,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,310,55,0,17,0,0,0,0,2,195,0,0,0,0,0,21,0,18,2,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,22521,3404,75,440,3,44,103,5756,3522,75,64,280,281,559,327,5907,0,1018,188,475,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,25836,7807,9165,3586,49,0,0,377,1193,0,0,86,1,275,1371,35,0,659,1232,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,32,3,0,4,0,0,8,0,0,0,0,0,0,0,2,0,0,14,1,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,10757,5449,220,1758,22,0,0,567,93,0,0,348,0,29,3,831,8,109,1328,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,8220,682,184,7,0,0,0,214,29,0,0,0,10,185,29,805,0,2240,3781,54,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,1889,0,0,0,0,0,0,0,0,25,0,1864,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,23373,12763,515,2171,31,0,5,248,1048,16,0,822,83,626,74,1573,0,3000,398,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,108957,52166,9144,26787,85,85,199,935,410,145,27,355,343,1254,2787,1104,146,3546,9267,318,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,10936,1186,0,0,0,0,54,497,7717,1131,0,70,0,213,0,58,0,10,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,118540,2744,142,77191,17,12,151,8022,5036,0,116,10450,9,196,2924,1641,98,5791,3977,121,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,189,0,0,0,0,0,0,0,16,0,30,0,143,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,104,28,0,0,0,0,41,0,0,0,0,0,0,0,0,12,0,23,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,145003,50648,2193,30226,314,412,268,4286,19347,410,10,9018,450,1783,9313,10094,21,5190,455,586,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,79249,11438,17794,46,5304,18,343,9629,1243,0,5,691,203,2227,12374,1433,612,9952,6549,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,158,67,0,2,0,0,0,0,0,0,0,0,0,30,0,4,0,53,2,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,1222,242,0,0,0,0,0,188,487,99,0,0,0,0,0,0,15,188,18,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
RO,Romania,country,Europe and Central Asia,45.943161,24.96676,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,691,0,0,0,0,0,0,139,377,0,0,0,0,0,0,93,0,82,0,0,0,0,0,0
SI,Slovenia,country,Europe and Central Asia,46.151241,14.995463,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,466366,7734,669,9859,57,58,204,1401,18955,77,120,4546,428,473,4814,376402,1889,10131,30360,78,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,12050,28,0,81,0,0,2,478,1842,0,41,0,8,0,592,7910,0,1005,63,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,206,0,0,0,0,0,122,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,3680,2457,413,177,108,0,0,12,24,0,5,0,25,17,204,0,0,149,89,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,218,3,0,24,0,0,0,8,0,0,0,8,51,55,20,13,0,16,20,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,6575,1850,0,0,2211,23,20,189,2032,50,0,0,0,0,200,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,3341,2181,447,76,5,1,2,49,70,0,0,17,27,47,0,246,60,47,126,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1993,45892,35073,0,18,7428,0,0,42,0,159,0,93,0,20,2730,47,0,222,60,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1994,16526,0,0,8,0,0,16500,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1994,304,52,0,22,0,0,0,0,0,38,0,0,0,0,0,0,0,192,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1994,99680,55378,194,2179,4,182,222,6272,12630,439,98,1068,951,1514,128,15315,0,2334,233,539,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1994,14229,3152,1633,1986,0,0,2,176,997,15,1,137,91,219,1163,105,0,388,4164,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,HR,Croatia,country,Europe and Central Asia,45.1,15.2,1994,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
