sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,4423,0,0,0,100,0,0,74,0,0,0,0,0,0,4249,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,78,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,75,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,2338,1894,0,0,0,0,0,0,0,0,0,3,0,9,5,0,0,0,427,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,492,0,0,55,0,0,0,218,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,6580,318,0,18,0,0,0,2,6,0,0,25,0,51,1002,4,0,4832,322,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,92,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,57,37,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,701,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,206,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,14499,10362,2,5,0,2,2,19,13,0,1,0,5,13,3155,476,0,21,423,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,42,17,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,5262,54,0,0,227,0,0,12,0,0,0,0,0,342,1427,148,0,106,2946,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,51,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,37,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,173,0,0,0,0,0,0,0,0,0,120,0,0,12,41,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,1604,0,0,0,0,0,4,1527,0,0,0,0,0,56,3,14,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,1054,12,0,0,0,0,0,0,0,0,0,0,2,22,0,18,0,7,993,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,272819,191255,0,20764,1788,0,4081,1579,818,99,48,3072,39,3152,38712,803,14,1654,4843,112,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1986,192,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1987,451,0,0,11,144,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1987,11317,1105,0,5000,0,0,0,1,3,0,1,0,0,21,5060,14,0,36,76,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,1987,1048,0,0,779,0,0,0,0,0,0,211,0,58,0,0,0,0,0,0,0,0,0,0,0
