sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,12923,0,0,119,0,0,318,0,378,0,0,12000,0,108,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,6112,0,0,5,0,0,0,643,87,212,0,0,0,5016,0,5,0,144,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,39,3,0,2,0,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,55215,8782,5502,413,3344,0,16,2735,3389,3963,0,19870,140,1510,3981,548,0,716,306,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,12585,0,0,6093,0,1,0,0,74,0,2,6243,52,1,0,0,0,119,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,2000,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,19630,180,0,35,37,0,0,357,0,0,30,18524,4,440,20,3,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,3532,0,0,0,0,0,0,0,0,0,0,3531,0,0,0,1,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,48,0,0,12,0,0,0,11,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,18950,0,0,0,0,0,0,0,18875,0,0,0,31,44,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,167,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,5629,0,5611,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,19632,6963,0,195,1524,0,0,2,1493,0,3,5620,27,1731,87,545,0,1145,223,0,74,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,19,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,2586,0,0,0,0,0,0,0,0,0,0,13,111,45,0,37,0,0,2380,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,419357,259519,1312,60015,0,6,12,5427,27628,464,2,51937,164,1545,370,10244,0,173,539,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,1986,11946,1231,0,1,0,0,0,407,5302,0,0,3372,0,190,1387,53,0,0,3,0,0,0,0,0
