sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IN,India,country,South Asia,20.593684,78.96288,1986,85,0,0,0,15,0,0,0,0,62,0,0,0,0,0,0,0,8,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IN,India,country,South Asia,20.593684,78.96288,1986,140541,209,0,92,114156,49,0,407,1420,22287,0,0,0,417,510,60,42,11,907,16,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,IN,India,country,South Asia,20.593684,78.96288,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,IN,India,country,South Asia,20.593684,78.96288,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IN,India,country,South Asia,20.593684,78.96288,1986,91573,25,0,62754,17788,0,0,6,0,4025,0,175,0,69,6086,0,0,25,620,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IN,India,country,South Asia,20.593684,78.96288,1986,464419,0,0,364400,0,0,0,0,0,0,212,0,0,407,99400,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IN,India,country,South Asia,20.593684,78.96288,1986,119056,0,0,0,4777,0,0,1082,0,0,0,0,0,15,113172,0,0,10,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IN,India,country,South Asia,20.593684,78.96288,1986,137239,0,37,0,135010,21,159,80,291,376,1110,0,4,106,0,35,0,10,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IN,India,country,South Asia,20.593684,78.96288,1986,49,0,0,0,0,0,0,0,3,0,0,33,0,13,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,IN,India,country,South Asia,20.593684,78.96288,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IN,India,country,South Asia,20.593684,78.96288,1986,41734,1,0,41200,0,0,0,2,1,0,0,0,6,196,2,136,0,91,99,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,IN,India,country,South Asia,20.593684,78.96288,1986,138577,20,0,122435,0,0,0,0,1,162,20,22,0,116,15301,354,0,18,128,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,IN,India,country,South Asia,20.593684,78.96288,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,IN,India,country,South Asia,20.593684,78.96288,1986,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,IN,India,country,South Asia,20.593684,78.96288,1986,10535,0,0,0,10535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,IN,India,country,South Asia,20.593684,78.96288,1986,64429,0,0,0,0,2173,1,0,0,0,20,0,0,2655,59345,0,0,0,0,235,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,IN,India,country,South Asia,20.593684,78.96288,1986,12610,0,0,12600,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,IN,India,country,South Asia,20.593684,78.96288,1986,1558,592,0,904,0,0,0,1,0,0,0,0,0,8,6,47,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,IN,India,country,South Asia,20.593684,78.96288,1986,572,0,0,2,0,0,0,0,0,0,0,0,0,567,3,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,IN,India,country,South Asia,20.593684,78.96288,1986,2316,818,0,0,0,582,324,0,16,0,0,0,0,544,0,0,0,0,0,32,0,0,0,0
KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,IN,India,country,South Asia,20.593684,78.96288,1986,431,0,0,0,0,0,0,0,0,0,0,428,0,0,3,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,IN,India,country,South Asia,20.593684,78.96288,1986,922223,0,0,20002,0,0,1059,0,0,0,0,0,0,30830,870332,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,IN,India,country,South Asia,20.593684,78.96288,1986,103,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0
