sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,4725,0,0,0,0,0,0,0,0,0,0,4725,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,843306,834347,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,6459,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,2238,0,0,9,0,0,0,0,215,0,0,0,0,371,0,106,0,381,1156,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,850,0,0,0,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,21387,396,0,11101,0,0,0,1,0,0,0,0,0,1006,1,11,55,0,8871,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,266192,319,3,196081,34,1,5,349,65,5,0,0,827,813,118,222,0,67304,46,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,13748,0,0,0,0,0,0,9577,0,0,0,0,0,267,0,0,0,2071,1833,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,519759,519759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,1986,55318,0,0,55318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
