sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,383,0,0,0,0,0,76,7,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,851683,1360,0,0,19818,0,341272,254,11536,1623,0,451172,26,1549,14633,0,0,8388,15,37,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,1092243,3008,0,142,405,5,598,88,552,77255,0,40,0,255038,0,0,0,935,11,754166,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,119736,3051,8126,15309,0,9,0,1214,297,766,10,2220,664,1243,2290,22399,0,52952,5167,4019,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,287235,4603,6427,1527,693,18,1832,15801,21510,7925,284,3681,5334,16360,26817,24976,262,73214,68510,7723,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,86294,0,1,21039,0,195,0,0,1012,29,201,5,47527,2656,3352,30,0,10221,26,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,983,0,0,15,0,80,0,0,0,0,0,0,0,200,0,0,0,662,26,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,13507,0,0,0,0,0,0,0,0,934,0,0,9454,848,2000,0,0,0,0,271,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,624135,574683,6777,76,10087,0,20410,208,45,13,0,71,0,482,762,123,52,1651,3,8744,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,25846,0,0,0,1441,69,0,267,23436,20,0,431,0,179,0,0,0,0,0,3,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,3706,12,0,4,88,9,336,1856,5,147,0,0,208,953,3,14,0,0,0,71,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,1994,23,0,1,38,0,8,1542,106,44,0,8,10,207,0,5,0,0,0,2,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,54014,0,0,105,0,0,0,0,41632,463,0,0,11749,65,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,81024,0,0,0,0,0,0,0,76579,0,0,0,3759,686,0,0,0,0,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,56372,0,0,56372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,7607,0,0,0,0,2,6,9,6817,0,0,664,0,0,0,2,0,0,0,107,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,209579,7588,1434,132,24,0,4,9713,15,2,0,950,1332,18291,2058,14688,0,138156,11097,4095,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,59219,0,305,23160,0,0,82,4597,0,24711,196,3937,0,2231,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,5714,8,0,25,0,0,0,472,45,0,0,0,17,11,665,7,0,0,3912,552,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,6318029,4635879,178429,112052,2648,1045,62834,45384,51149,23853,598,357514,18107,18829,81996,67123,4717,126126,421161,113302,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,894733,604002,66,64,68,1200,22930,40302,32071,12891,2,43059,17,7401,104253,24551,0,0,420,609,827,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,44322,0,0,0,0,0,312,0,29253,9570,7,0,5180,0,0,0,0,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,102269,0,0,0,0,0,157,0,95727,0,0,0,6385,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,116689,3389,0,983,8481,0,725,2440,791,0,112,58026,0,1548,13454,44,40,26688,8,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,18968,103,0,0,0,330,1225,3,124,6168,1668,0,4058,4925,363,0,0,1,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,111836,21905,0,0,0,0,0,0,0,0,65,0,13600,17988,56404,0,0,0,0,1874,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,22271,5,0,304,10,0,0,23,0,43,0,30,2,375,0,1994,19,4320,9653,5512,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,IT,Italy,country,Europe and Central Asia,41.87194,12.56738,1986,62314,124,113,0,0,0,523,607,38135,21111,0,1,0,235,18,0,6007,706,741,0,0,0,0,0
