sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,569,227,0,0,0,0,0,0,274,0,0,0,0,0,0,1,0,39,28,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,180,80,0,4,0,0,0,0,17,0,0,0,0,4,0,21,0,54,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,3758,525,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,600,2620,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,212,0,0,0,163,0,0,0,32,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,3226,0,0,3,0,0,0,0,0,126,0,0,18,33,0,0,0,3046,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,43894,40128,1779,331,4,0,0,329,37,0,17,5,3,237,60,28,6,709,227,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,150,17,0,1,0,0,6,20,4,0,9,0,0,93,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,58,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,1333,1080,0,0,0,0,0,0,0,0,0,0,0,160,0,1,0,24,68,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,645,20,9,0,0,0,0,0,0,0,0,0,0,0,13,95,0,0,508,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP,Guadeloupe,country,Latin America and the Caribbean,16.995971,-62.067641,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,1986,12017,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
