sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,19143,16500,0,0,584,0,0,0,0,0,0,1961,0,0,0,0,0,98,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,56384,55001,0,175,555,0,0,0,107,0,0,21,0,16,0,21,0,127,361,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,342,0,0,0,0,0,0,11,20,0,0,0,1,12,1,0,0,1,296,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,111189,3003,1,27131,99,0,0,20,12,0,0,72913,5,20,0,0,0,6124,1861,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,14069,0,0,13096,0,0,0,0,0,0,0,0,47,5,0,0,0,921,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,4934,0,0,121,0,0,0,524,24,0,0,0,0,0,0,0,0,4252,13,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,27059,26566,200,0,0,0,0,0,0,0,0,0,0,9,284,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,286,0,0,32,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,81,0,0,10,0,2,17,0,0,0,45,0,2,5,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,108,0,0,19,0,0,0,77,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,1986,1514,39,299,11,0,0,0,2,15,0,0,101,16,4,653,44,105,2,328,0,0,0,0,0
