sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,1516991,1506288,0,4186,1260,0,1807,1,547,1131,0,1490,20,257,0,0,0,4,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,7254501,2931005,0,98776,1497,235,100007,2778,78345,240871,126,59359,6220,3425545,14407,1733,0,176374,32293,84930,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,22449,279,0,96,0,0,0,0,149,0,2,0,1820,0,0,38,0,0,20065,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,193,0,0,0,0,0,0,1,0,154,0,0,38,0,0,0,0,0,0,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,249850,49329,198,5246,1995,0,2596,38708,35637,15355,0,101,2004,4440,11515,193,0,43679,34069,4785,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,266905,8,0,20145,0,71,113850,65,18253,1597,32,783,81593,2423,1304,3839,0,21059,1883,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,194,122,47,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,731,0,0,0,0,0,0,327,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,5054,0,0,0,0,0,0,0,0,2001,0,0,3053,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,4582004,2402500,7618,2564,8661,40,1524178,1446,1979,0,46,517963,49,11652,43637,3724,26,30779,17325,7843,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,119560,0,0,7,11,3,0,3245,1342,84,18,103599,0,8944,0,1573,0,674,60,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,85484,775,108,286,13267,3421,27385,7586,592,4415,645,6936,3620,10132,57,5647,0,366,15,231,0,0,0,0
MO,"Macao SAR, China",country,East Asia and Pacific,22.198745,113.543873,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,14,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,669081,2964,257,48538,1178,0,0,185276,156775,8737,1142,105143,12467,53225,451,2002,1,90762,105,7,52,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,49875,0,0,50,0,0,19,143,4702,3000,0,0,41675,286,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,6117,0,18,0,0,0,0,0,0,0,0,0,2291,3471,0,4,0,333,0,0,0,0,0,0
CU,Cuba,country,Latin America and the Caribbean,21.521757,-77.781167,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,513341,0,0,513341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,645,0,0,0,0,0,0,0,538,0,0,0,0,5,0,102,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,116766,14159,0,1217,0,0,0,3,49,0,0,4,218,1992,185,700,0,87554,10685,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,26767,0,0,0,0,0,20,104,0,26011,500,0,0,132,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,27177,0,0,25900,0,0,0,0,110,0,0,1164,0,0,0,3,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,7209,590,0,3619,0,0,0,0,2,0,0,4,517,289,14,46,0,616,1512,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,97557,41115,64,4122,2,8,327,303,56,6892,84,1499,1934,19,219,34852,72,2865,3121,75,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,18297,37,0,3,0,0,5,2322,10151,739,6,0,3,4786,2,40,0,0,0,203,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,52141,0,0,28903,0,0,2309,0,45,9944,28,0,10317,584,0,0,0,11,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,20850,0,0,0,0,0,356,0,991,165,0,0,19098,240,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,4014,0,0,904,560,0,0,220,440,0,825,0,0,0,0,222,45,843,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,2166,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,1949,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,91312,6,0,0,0,3034,281,1769,81,36788,4013,6560,3392,29399,5931,56,0,2,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,376145,4747,0,147992,0,300,9902,0,160,0,2225,116749,46187,39545,8209,32,0,0,4,93,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,9507,1930,0,10,0,0,0,0,0,0,0,16,135,138,0,967,0,5721,590,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,17885,0,0,11,0,0,0,89,15902,381,0,79,2,0,0,0,0,41,1380,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,53009,35399,0,41,0,181,28,9034,2429,34,3,0,86,2081,1130,2246,0,5,308,4,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,949,0,0,0,0,0,0,0,0,0,76,0,667,0,0,206,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,JP,Japan,country,East Asia and Pacific,36.204824,138.252924,1986,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
