sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,68798,59000,0,207,0,0,100,0,70,0,0,0,0,2,9399,20,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,40220,4483,0,35600,0,0,4,1,0,0,0,25,0,2,5,0,0,0,100,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,26623,0,0,26600,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,1059,310,0,0,287,0,0,0,0,0,0,0,0,0,150,0,0,0,312,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,20,14,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,2476,0,0,0,0,0,0,0,0,0,0,0,0,221,2218,14,0,23,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,65390,0,0,64892,28,0,1,4,58,0,0,0,1,33,11,356,0,2,4,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,74,0,0,0,0,0,1,0,66,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,12373,0,0,12328,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,1986,508,10,0,0,0,0,6,0,4,0,99,10,36,340,3,0,0,0,0,0,0,0,0,0
