sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,16499.1795479395,1998,86,0,0,0,0,0,0,0,14,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
AM,Armenia,country,Europe and Central Asia,40.069099,45.038189,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,2502.21567122156,1998,93,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,9577.95383436393,1998,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,37,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,4722.25921652766,1998,362,0,0,129,0,0,0,14,0,0,0,0,0,61,0,115,0,0,43,0,0,0,0,0
AZ,Azerbaijan,country,Europe and Central Asia,40.143105,47.576927,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,2289.22478548816,1998,1716,0,0,0,0,0,0,0,0,218,0,0,239,0,961,298,0,0,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,2430.53657887284,1998,134,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,3707.83252318164,1998,574,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,5338.68825203297,1998,323,1,0,8,0,0,0,12,0,0,0,0,6,3,19,262,0,2,10,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,7870.92878961315,1998,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,8758.37820569918,1998,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,14104.9642520286,1998,37967,0,0,37784,0,0,0,0,0,0,0,0,44,44,95,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,4023.60981814916,1998,400,9,0,132,0,0,0,13,0,0,0,0,0,38,0,208,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,KG,Kyrgyz Rep.,country,Europe and Central Asia,41.20438,74.766098,9201.74537147451,1998,296,13,0,0,0,0,0,2,2,0,0,0,1,217,0,1,0,59,1,0,0,0,0,0
