sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,8672.63731720951,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,5243.58981559437,2000,22998,22341,0,5,0,0,2,11,148,0,0,0,2,26,40,318,0,11,94,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9670.7898727311,2000,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,17531.9222840273,2000,198,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,17441.5063408759,2000,84,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1460.0811164022,2000,1720,82,0,8,0,0,7,52,342,0,1,0,1,503,42,682,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2594.52624528575,2000,4288,202,1,41,0,0,18,274,459,45,0,0,10,2545,43,200,0,0,450,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2091.93712464504,2000,1043,6,0,0,0,0,5,1,159,702,0,0,0,51,4,108,0,0,7,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9969.229620478,2000,6569,3849,0,18,0,0,5,9,68,0,0,11,5,518,8,1730,0,22,326,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9244.91660487891,2000,331,75,0,0,0,0,0,0,0,0,0,0,0,74,0,182,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,8556.28803619639,2000,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,8657.92599595602,2000,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,10235.2584011834,2000,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2912.58569738806,2000,1588,1,0,0,1,0,0,0,0,0,2,1220,9,355,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1784.22601087891,2000,9016,87,0,47,0,0,0,0,0,0,0,0,5,8328,349,200,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,10368.5699596133,2000,725,695,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9286.98586948273,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,4239.97422183195,2000,161,52,0,0,0,0,1,0,19,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,6199.30975731582,2000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Lao PDR,country,East Asia and Pacific,19.85627,102.495496,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,854.227016001738,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,987.488474518624,2000,12789,1975,0,1608,0,0,3,30,20,0,0,0,3,55,8908,184,0,3,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,15014.649536596,2000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
MZ,Mozambique,country,Sub-Saharan Africa,-18.665695,35.529562,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,8375.52037903309,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9566.77986798423,2000,1701,57,0,258,0,0,0,0,0,0,0,0,0,0,0,1386,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9308.37804469177,2000,483,222,0,1,0,0,1,0,77,0,0,0,0,0,2,119,0,0,61,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9157.24596869794,2000,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,4164.51213261486,2000,132,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,17603.0114435883,2000,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1822.42391562248,2000,169,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,3459.00894637251,2000,140,0,0,0,0,0,0,16,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1254.95943041013,2000,12560,1265,28,46,0,2,33,179,1980,0,3,1,123,2585,2651,2722,0,17,925,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,8606.4528813676,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9508.09265384891,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,7040.03125117028,2000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,566.925254486301,2000,126156,36767,1,62443,28,73,8958,79,992,0,27,1327,108,4381,228,5126,26,69,5549,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9994.88383530068,2000,3053,297,0,0,0,0,0,0,0,0,0,0,0,2502,0,254,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,14099.9700388159,2000,12699,11324,22,4,0,0,2,4,662,38,0,0,1,463,2,154,0,9,14,0,0,0,0,0
VN,Vietnam,country,East Asia and Pacific,14.058324,108.277199,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,392.848454546722,2000,20203,12496,0,3373,0,0,0,3065,36,8,0,1,16,699,283,204,1,0,22,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9026.67908633703,2000,131,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,5243.58981559437,2001,16640,15548,0,24,0,0,0,22,278,40,2,0,8,10,20,249,0,39,400,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9023.75119018206,2001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9670.7898727311,2001,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,17531.9222840273,2001,118,0,0,0,0,0,0,0,0,59,0,0,0,59,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,17441.5063408759,2001,87,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1460.0811164022,2001,971,70,0,2,0,0,4,1,15,65,2,0,3,319,112,378,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2594.52624528575,2001,17251,221,1,5039,0,0,13,343,238,45,0,19,5,11081,38,78,0,0,130,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2091.93712464504,2001,1192,15,1,4,0,0,6,3,92,754,0,155,0,136,3,14,0,0,9,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,7548.60845599796,2001,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,3795.93748050069,2001,660,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9193.22525922894,2001,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9969.229620478,2001,5620,3009,0,13,0,0,3,3,50,0,0,0,1,842,0,1263,0,3,433,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,9244.91660487891,2001,494,0,0,4,0,0,0,0,0,0,0,0,0,391,0,99,0,0,0,0,0,0,0,0
IS,Iceland,country,Europe and Central Asia,64.963051,-19.020835,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,10235.2584011834,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,2912.58569738806,2001,726,0,0,675,0,0,0,0,0,0,1,0,0,33,0,17,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,1784.22601087891,2001,10182,40,0,38,0,0,0,0,8,0,0,0,0,8921,97,1077,0,0,1,0,0,0,0,0
