sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,4908,2406,3,949,0,0,0,13,5,0,2,480,37,42,20,846,4,64,41,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,111,0,5,81,0,0,0,1,4,0,0,0,0,0,0,3,3,2,15,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,25,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,1757,199,9,1477,0,0,0,18,0,0,2,0,7,4,21,0,0,20,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,7,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,111,0,5,81,0,0,0,1,4,0,0,0,0,0,0,3,3,2,15,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,4374,2200,7,1075,0,0,0,0,5,0,0,0,30,44,78,772,0,83,80,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,62,10,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,785,140,12,543,0,0,0,30,0,0,2,0,7,5,17,1,0,28,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,KI,Kiribati,country,East Asia and Pacific,-3.370417,-168.734039,1987,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
