sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,10674.0560243968,1995,33,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,7926.70732761952,1995,203,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,13189.5454257939,1995,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,8225.49225323788,1995,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DJ,Djibouti,country,Middle East and North Africa,11.825138,42.590275,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,2642.08895380491,1995,65,0,0,40,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,7689.00738539215,1995,8079,3609,3,1286,3,1,5,234,9,0,3,20,9,145,411,310,2,1723,308,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,7725.24399702099,1995,124,0,0,20,0,0,0,0,0,0,0,0,0,0,73,0,0,0,31,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,5273.87263733539,1995,31378,31110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,6787.17106744887,1995,134,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,1474.87890720509,1995,309,41,0,151,0,0,0,3,0,0,0,73,0,7,1,7,0,0,26,0,0,0,0,0
