sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,447905,278778,0,0,0,0,0,0,0,707,0,168420,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,824027,729609,0,3,0,0,0,15,18,76158,18,5,0,226,8688,46,31,1167,175,7899,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,81628,38099,0,165,13,0,0,2,4,10621,0,36,311,38,10374,11,0,15939,1737,4278,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,12882,0,0,14,0,8,10500,0,862,67,0,35,1335,21,40,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,101,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,816808,695116,0,1264,0,0,20667,0,0,28,0,72900,0,2134,9681,2,12,0,3682,11334,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,22026,0,0,0,0,0,0,68,88,4,0,21846,0,20,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,1986,45286,61,450,4,16046,173,3922,931,573,6885,1214,100,914,11868,1973,166,0,0,5,1,0,0,0,0
