sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,35,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,20028,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,0,0,28,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,20,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,69,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,436,7,29,0,0,0,0,9,81,0,0,0,1,57,0,231,0,3,18,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,1098,0,0,0,0,0,0,0,0,0,0,0,0,10,0,827,0,0,261,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,327,7,0,13,0,0,0,3,1,0,0,0,2,36,0,212,0,6,47,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1986,12272,775,77,315,11,1,2,581,1752,0,8,860,30,1777,100,3986,193,1066,931,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,15,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,40,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,1218,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1006,0,0,202,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,414,25,0,9,0,0,0,15,3,0,0,0,1,33,5,198,0,0,125,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,12032,841,20,366,18,0,9,298,1161,0,7,1135,26,1723,84,4471,8,958,915,0,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1987,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1988,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1988,4609,0,0,0,0,0,0,0,0,0,0,3250,0,0,500,0,0,859,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1988,3959,3243,115,141,0,0,0,18,15,0,0,0,0,25,22,288,0,31,61,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,1988,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
