sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,553,0,0,540,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,388682,164415,3020,206344,0,1,19,218,36,0,5,500,144,599,51,2710,0,10620,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,3005,3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,16828,16753,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,19,0,2,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,1173,66,0,5,0,0,0,0,6,0,0,0,122,0,0,937,0,37,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,3488,1095,0,500,0,0,0,17,197,0,0,0,0,14,48,1592,0,0,25,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,KZ,Kazakhstan,country,Europe and Central Asia,48.019573,66.923684,1992,128,76,0,0,0,0,0,0,9,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
