sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,204236,203287,0,4,241,0,0,0,0,0,0,0,599,0,0,0,0,105,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,160,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,88,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,613,0,0,12,0,0,0,0,0,0,0,40,0,0,0,100,0,0,461,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,25468,1338,0,18123,0,0,0,200,13,30,0,4363,203,68,113,0,0,376,641,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,3505,0,0,0,0,34,0,0,3,0,0,0,3248,17,0,0,0,203,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,301,0,0,0,0,0,0,178,0,0,0,0,0,8,0,0,0,20,95,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,17832,16439,0,0,667,0,0,0,0,0,0,0,0,0,170,0,0,0,556,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,330,0,0,0,243,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,163,0,0,0,0,0,0,146,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,1701,0,0,0,0,0,0,0,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,53,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,14121,142,5221,43,49,0,0,4073,1568,0,62,0,607,1657,262,206,182,5,224,2,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,5298,62,0,0,0,0,0,0,0,0,0,0,1,88,70,89,0,2106,2882,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,20945,0,18461,0,0,0,325,1685,161,47,61,0,0,205,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,3772,10,0,15,0,0,0,0,0,0,0,0,10,0,1230,9,0,254,2244,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,50738,13447,1937,18319,37,0,22,293,97,0,6,4800,22,320,1295,1499,0,1408,7175,61,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,14803,4268,0,43,0,0,86,831,49,0,0,599,0,208,8467,22,0,0,12,0,218,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,634,0,0,21,0,0,500,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,3346,134,0,20,0,0,0,2133,246,0,0,0,0,0,0,0,0,473,340,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,55,0,0,0,0,0,0,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,1550,0,0,10,0,0,0,0,0,0,0,0,0,214,33,45,0,12,1236,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,49567,32922,0,509,0,0,7,574,172,5,0,397,63,173,13012,11,0,1692,22,8,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,10,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,12759,35,609,0,42,0,0,10951,680,0,0,136,1,39,0,0,0,40,0,226,0,0,0,0
KW,Kuwait,country,Middle East and North Africa,29.31166,47.481766,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,848,123,0,174,0,70,36,70,86,0,0,0,28,17,24,14,0,173,33,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,6717,0,0,0,0,0,0,0,0,0,0,0,0,101,6616,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,1438,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,43703,211,16208,3037,37,2,55,45,33,0,20,628,326,300,16122,1641,128,1533,3505,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,401,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,43,0,0,0,0,0,0,0,1,0,0,0,22,2,0,13,0,0,5,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,383,0,0,0,0,0,63,0,149,0,0,0,151,20,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,1433,0,0,120,0,0,0,114,0,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,5848,0,0,0,0,0,0,0,0,0,0,5739,0,40,0,36,0,0,33,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,48,0,0,41,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,8924,8,0,0,0,14,145,0,0,0,102,0,296,82,8171,0,0,0,106,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,14366,4699,0,392,0,105,12,1749,91,0,0,1261,63,456,4948,119,0,381,90,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,2263,0,0,0,0,0,415,0,0,0,23,0,1737,77,11,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,2100,1150,0,3,0,0,0,26,0,0,0,0,26,2,893,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,238,0,0,0,0,0,0,0,0,0,0,5,57,160,0,0,0,0,16,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,33531,103,16443,11,0,0,0,13722,673,2026,131,344,0,78,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,422,250,0,0,0,0,0,0,126,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,64598,4356,247,37,21961,799,1479,9069,480,95,132,20780,34,358,1767,0,0,2097,907,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,97359,87307,1400,51,1798,0,174,50,20,13,2,208,462,147,9,5172,18,16,470,60,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,147285,93854,0,21,453,290,19,20,49,0,0,45322,3,2149,4298,739,0,17,5,46,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,555,0,0,0,0,0,376,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1986,34757,33980,0,17,22,0,0,561,0,0,0,0,27,0,0,0,0,150,0,0,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,65895,64000,0,4,866,0,0,0,0,0,0,0,518,0,431,0,0,76,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1150,0,0,0,1046,0,0,0,0,0,0,0,0,0,16,0,0,82,0,6,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,82,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0,0,59,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,40641,7334,0,27610,1,0,3,56,4,17,3,3385,84,190,282,0,0,705,967,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,9419,0,0,28,0,5,0,0,0,0,10,0,7733,1447,0,9,0,187,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,983,0,0,0,0,0,0,759,24,0,0,0,0,0,0,31,0,49,120,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,34535,33932,0,0,38,0,0,0,0,0,0,0,0,52,5,0,0,0,508,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,79,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,339,4,0,0,0,13,320,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,62,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,193,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,39923,50,2969,9,66,0,0,2754,1487,0,0,20,9,32327,106,80,89,22,2,22,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,4046,15,0,0,0,0,0,0,0,0,0,0,3,208,105,1,0,2227,1487,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,16262,475,14055,0,40,0,0,1448,70,20,37,0,0,117,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,4928,0,0,4,0,0,0,0,0,0,0,0,7,0,540,0,0,338,4039,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,50337,12143,5137,23147,15,0,15,98,45,0,3,4175,11,233,688,532,0,1301,2725,69,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,13857,3828,0,82,7,0,8,596,14,0,0,0,6,887,8124,2,0,11,0,0,292,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1637,428,0,0,91,0,13,748,64,0,0,0,0,0,0,0,0,133,160,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,821,0,0,0,0,0,0,0,0,0,0,0,0,261,0,52,0,50,458,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,63628,40598,0,69,0,0,0,596,39,8,0,857,11,3046,14767,10,0,3605,22,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,16115,6012,683,3,40,0,0,8800,85,15,0,152,0,80,0,0,0,0,0,245,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,7385,0,0,0,0,0,0,34,0,0,0,0,0,129,7222,0,0,0,0,0,0,0,0,0
MT,Malta,country,Middle East and North Africa,35.937496,14.375416,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,28,0,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,27978,32,9732,3762,11,0,14,4,88,2,0,430,179,217,7522,580,53,2188,3217,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1008,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,148,840,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,26,0,0,1,0,0,0,0,0,0,0,0,7,0,0,17,0,0,1,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,280,0,0,0,0,0,99,0,14,0,0,0,144,23,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1287,0,0,0,0,0,0,40,0,0,0,20,0,0,1200,27,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,7568,4,0,0,0,0,108,0,0,0,39,0,67,180,7010,0,0,0,160,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,14477,3682,0,309,0,146,0,205,26,0,0,3753,42,143,5849,49,0,269,0,4,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,1603,0,0,0,0,12,69,0,0,0,4,0,1478,40,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,6177,1817,0,4205,0,0,0,0,0,0,0,0,21,41,75,1,0,17,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,254,0,0,0,0,0,0,0,0,0,0,2,22,171,59,0,0,0,0,0,0,0,0,0
SY,Syrian Arab Rep.,country,Middle East and North Africa,34.802075,38.996815,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,16905,0,165,0,88,0,0,13845,610,2005,121,0,21,48,2,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,559,425,0,0,0,0,0,0,67,0,0,0,0,48,0,19,0,0,0,0,0,0,0,0
TN,Tunisia,country,Middle East and North Africa,33.886917,9.537499,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,184897,128692,14371,121,30480,589,1427,1462,1265,1,38,3903,71,402,1743,0,0,87,245,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,1987,65581,58122,0,13,2170,0,2,123,17,3,0,518,199,169,44,3241,0,0,960,0,0,0,0,0
