sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1986,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1986,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1986,1010,0,0,17,265,0,0,237,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1986,91,2,0,0,0,0,0,5,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1986,40,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1987,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1987,381,0,0,0,0,0,0,33,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1988,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1988,236,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,LI,Liechtenstein,country,Europe and Central Asia,47.166,9.555373,1988,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
