sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LK,Sri Lanka,country,South Asia,7.873054,80.771797,15109.7564596835,1986,52500,52499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LK,Sri Lanka,country,South Asia,7.873054,80.771797,6821.5076710908,1986,88622,79295,0,200,267,0,0,22,715,158,0,0,4,55,4516,88,0,59,3243,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LK,Sri Lanka,country,South Asia,7.873054,80.771797,7596.14147301375,1986,365,0,0,0,0,0,5,0,62,0,0,0,0,0,0,4,0,0,294,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LK,Sri Lanka,country,South Asia,7.873054,80.771797,8374.84256310965,1986,1079,5,0,154,0,0,258,15,0,0,0,40,3,0,0,0,0,0,604,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LK,Sri Lanka,country,South Asia,7.873054,80.771797,14829.8635816538,1986,52811,0,0,52800,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,LK,Sri Lanka,country,South Asia,7.873054,80.771797,6625.26314991944,1986,26,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LK,Sri Lanka,country,South Asia,7.873054,80.771797,12882.518686048,1986,72706,72000,0,0,507,0,89,0,0,0,18,0,0,92,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LK,Sri Lanka,country,South Asia,7.873054,80.771797,3916.31132901219,1986,48,0,0,0,0,0,0,2,2,0,0,0,0,25,0,2,0,13,4,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,LK,Sri Lanka,country,South Asia,7.873054,80.771797,3921.33858929536,1986,129634,90392,0,22264,0,0,0,3045,10,0,8599,5250,5,69,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,LK,Sri Lanka,country,South Asia,7.873054,80.771797,4629.26333115084,1986,561,14,0,0,0,0,0,288,33,0,25,196,0,5,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,LK,Sri Lanka,country,South Asia,7.873054,80.771797,9501.41429580975,1986,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,LK,Sri Lanka,country,South Asia,7.873054,80.771797,5689.70246825263,1986,66,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,LK,Sri Lanka,country,South Asia,7.873054,80.771797,7589.43787097869,1986,202,200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,LK,Sri Lanka,country,South Asia,7.873054,80.771797,6685.97323529584,1986,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LK,Sri Lanka,country,South Asia,7.873054,80.771797,8138.37126065225,1986,636,170,0,7,0,0,0,0,14,0,25,0,5,33,57,90,0,5,230,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,LK,Sri Lanka,country,South Asia,7.873054,80.771797,5668.43485244707,1986,80,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,LK,Sri Lanka,country,South Asia,7.873054,80.771797,11184.4584695603,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LK,Sri Lanka,country,South Asia,7.873054,80.771797,7476.58469117179,1986,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LK,Sri Lanka,country,South Asia,7.873054,80.771797,8506.70772981527,1986,1452,139,0,650,0,0,0,0,0,0,0,54,0,292,15,200,5,0,102,0,0,0,0,0
GF,French Guiana,country,Latin America and the Caribbean,3.933889,-53.125782,LK,Sri Lanka,country,South Asia,7.873054,80.771797,14751.8199640118,1986,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,LK,Sri Lanka,country,South Asia,7.873054,80.771797,17223.4488269114,1986,49536,0,0,49536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,LK,Sri Lanka,country,South Asia,7.873054,80.771797,1429.37734323544,1986,67673,659,1,11000,0,0,0,37839,248,1847,3193,9192,10,3467,216,0,0,0,1,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,LK,Sri Lanka,country,South Asia,7.873054,80.771797,3803.62698150604,1986,170,0,0,0,0,0,0,0,56,0,15,0,1,98,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,LK,Sri Lanka,country,South Asia,7.873054,80.771797,3910.33175570391,1986,864,0,0,0,0,0,0,10,273,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0
