sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,54,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,37,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,14755,11211,0,0,135,0,0,0,0,0,0,0,0,0,745,0,0,0,2664,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1986,1003,1000,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,LS,Lesotho,country,Sub-Saharan Africa,-29.609988,28.233608,1987,1086,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
