sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,166919,166917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,415,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,50,0,403,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,335242,310281,0,7414,0,0,0,24,0,0,0,14548,0,32,0,0,3426,0,2943,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,51396,0,0,0,0,0,0,0,0,0,0,51396,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,1085,0,0,0,0,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,202331,190905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11426,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,124,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,221,0,0,0,8,0,75,32,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,1501,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,5339,539,1802,1,0,1,129,2,2,0,0,1947,1,30,9,47,53,14,815,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,209004,159270,0,46494,0,0,0,1,3,0,76,0,0,49,0,0,183,161,2950,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,138119,5,0,0,6,0,3,19509,1,0,0,118233,0,361,1,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,379,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,200,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,5819,0,0,0,0,0,0,0,0,0,0,0,0,2238,0,0,0,3581,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,439972,240602,0,51,661,1,250,4543,124,653,2,161577,21,514,24458,0,520,6491,24,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,28,17,0,0,0,0,0,2,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,278,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,730,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,3770,224,0,266,986,0,233,0,41,0,834,0,0,1186,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,105792,63518,4741,2101,2,0,0,182,124,0,2,1001,50,1963,19959,19,2575,169,11961,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,3136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,15040,0,0,15040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,LY,Libya,country,Middle East and North Africa,26.3351,17.228331,1986,3543,0,0,0,0,0,0,0,0,0,0,2543,0,0,1000,0,0,0,0,0,0,0,0,0
