sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,57806,57410,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,1582,0,0,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,1124,17,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,23542,4716,0,0,0,0,0,0,0,59,0,57,4,280,17911,4,0,11,327,173,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,45754,0,0,28000,0,0,0,0,0,0,75,11999,0,2480,3200,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,29,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,18141,11018,0,0,0,0,0,19,0,0,0,0,0,0,7104,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,189,0,0,0,0,0,0,182,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,54462,0,0,53115,0,0,0,0,0,37,0,0,0,1310,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,17,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,4278,8,3086,0,0,0,2,0,0,0,0,5,16,5,0,9,28,0,1147,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,1052,0,0,0,0,0,0,27,5,0,1013,0,0,7,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,5003,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,159695,54739,3027,26056,86,6,99,40,21,1491,956,1605,135,1606,65891,441,1211,1441,1402,653,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,4504,0,0,1,0,0,0,0,0,111,0,3990,0,402,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,9200,0,0,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,1986,2498,0,0,0,0,0,0,0,0,400,824,0,1220,54,0,0,0,0,0,0,0,0,0,0
