sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,7129.99957841278,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8841.23172287584,1990,4652,660,0,0,0,0,0,0,0,0,0,0,0,0,3992,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8054.29771632309,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8757.55592438501,1990,1754,823,0,158,0,0,0,0,0,18,0,0,0,1,702,15,0,0,37,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,7188.86085035937,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,15315.0362971086,1990,207,56,0,4,52,0,0,12,0,0,0,0,0,10,6,0,0,5,62,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8629.55259567838,1990,13,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8566.15761046289,1990,28,9,0,0,0,0,3,2,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,9326.36615797396,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,6453.77103563836,1990,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8237.34516696264,1990,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,10599.2856703769,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,9055.98804116291,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8514.71759270318,1990,24601,22806,0,44,2,1,4,12,16,81,0,21,14,319,173,326,51,3,779,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,6947.34282795386,1990,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,5608.05013262921,1990,120,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,7576.92282374654,1990,776,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,9607.31329376509,1990,60,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,5692.17001384524,1990,99,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,7617.22700924699,1990,316,45,0,1,0,0,0,74,0,5,0,0,0,130,0,3,0,3,55,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,1477.37596977387,1990,137,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,6556.55826740906,1990,3277,0,0,0,0,0,0,0,0,0,0,0,0,0,3277,0,0,0,0,0,0,0,0,0
MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,1134.13372779254,1990,229,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,10,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,16824.3768267271,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8048.7511178063,1990,18,0,0,0,0,0,1,3,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8859.24907976815,1990,5248,246,0,24,0,0,0,0,71,0,0,0,3,66,3809,70,0,0,959,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,9471.00465970592,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PK,Pakistan,country,South Asia,30.375321,69.345116,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,5976.90236792409,1990,11335,11334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8316.7274346119,1990,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8640.09401059172,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
RE,Reunion,country,Sub-Saharan Africa,-21.115141,55.536384,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,943.724344036213,1990,48,21,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,6615.41940255064,1990,2234,6,0,0,0,0,0,0,41,0,0,0,0,7,2180,0,0,0,0,0,0,0,0,0
ZA,S. Africa,country,Sub-Saharan Africa,-30.559482,22.937506,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,2745.11626489976,1990,166,21,0,39,0,0,0,0,42,0,0,0,6,4,0,54,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8418.47208315338,1990,123,20,0,0,0,0,0,0,0,0,0,0,0,62,0,41,0,0,0,0,0,0,0,0
SZ,Swaziland,country,Sub-Saharan Africa,-26.522503,31.465866,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,1800.43761084952,1990,44,0,0,0,0,0,0,0,15,0,0,0,0,10,0,19,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,9145.2127418018,1990,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,8265.16522243204,1990,165,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,0
