sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1991,80,44,0,0,0,0,9,5,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1991,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,64,44,0,0,0,0,12,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1992,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1993,440,14,0,148,0,0,0,0,3,0,0,0,5,0,0,67,0,161,42,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MH,Marshall Islands,country,East Asia and Pacific,7.131474,171.184478,1993,61,38,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
