sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AL,Albania,country,Europe and Central Asia,41.153332,20.168331,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,141.128751671051,1999,727,51,0,0,0,0,0,0,0,0,0,0,2,664,0,10,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,12403.4884264252,1999,5128,0,0,2,0,0,427,0,484,0,0,4196,19,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,13635.2865862304,1999,884,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,172,0,677,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,869.948999082607,1999,8063,10,0,1009,0,0,5,8,490,0,0,168,84,54,1212,369,47,4543,111,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,8907.39432328293,1999,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BY,Belarus,country,Europe and Central Asia,53.709807,27.953389,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1423.89978035924,1999,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1655.09247362222,1999,301,14,40,7,0,0,11,0,0,0,0,62,8,0,72,7,0,76,4,0,0,0,0,0
BO,Bolivia,country,Latin America and the Caribbean,-16.290154,-63.588653,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10836.6425780536,1999,530,0,0,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,419.919019818701,1999,1289,47,50,20,0,0,26,23,44,0,0,0,0,600,0,0,0,459,20,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,9760.49030227008,1999,13643,0,0,9965,0,0,0,0,390,0,0,0,3214,25,0,0,0,49,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,333.022743733137,1999,38553,9885,16,12258,419,43,91,364,150,71,5,3667,38,608,9143,1716,84,0,79,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,8113.55248886689,1999,1018,0,0,0,298,0,0,0,0,0,0,0,0,360,0,14,0,346,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,6907.88160685858,1999,2709,0,0,0,0,1,2326,0,0,0,0,0,0,3,1,1,0,377,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,9011.65584623644,1999,17,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10181.6675645118,1999,3449,0,0,0,0,0,0,0,3437,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10558.1567904924,1999,506,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,Ivory Coast,country,Sub-Saharan Africa,7.539989,-5.54708,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,4649.55773550483,1999,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
HR,Croatia,country,Europe and Central Asia,45.1,15.2,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,656.713181521978,1999,6629,735,69,121,0,0,162,16,47,24,4,112,501,2245,1,964,3,1184,444,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1247.4600163031,1999,601,0,0,0,0,8,0,0,0,61,0,0,0,0,91,0,0,441,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1034.85496671077,1999,2915,2005,36,0,0,0,0,0,28,0,0,0,20,57,166,43,0,39,521,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,5081.39741566354,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1854.62949774714,1999,1381,0,0,0,0,0,15,177,0,0,0,342,2,6,10,123,0,684,22,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,8801.33460358187,1999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10979.5749042172,1999,2824,0,0,0,0,0,0,0,2788,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1842.66712625162,1999,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,2277.22619083512,1999,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1643.4071881997,1999,1022,0,88,59,0,0,150,0,0,0,20,96,48,78,43,41,0,322,77,0,0,0,0,0
GE,Georgia,country,Europe and Central Asia,42.315407,43.356892,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1785.84029596602,1999,18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
DE,Germany,country,Europe and Central Asia,51.165691,10.451526,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1369.34336903867,1999,7440,161,0,2448,0,0,136,32,51,0,1,2,390,319,328,349,0,1101,1515,607,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,4367.02850577795,1999,159,0,0,0,0,0,5,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,282.210771182254,1999,64228,1938,54,3374,168,268,2236,606,10576,2346,9,26330,216,830,13061,1420,385,526,270,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10584.8086400553,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,4676.65898093244,1999,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,643.389231596393,1999,10754,6249,0,287,0,0,15,15,51,13,0,536,47,557,1735,59,0,939,251,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,5813.8476259785,1999,1430,0,0,0,0,0,1285,0,0,0,4,0,121,20,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10258.2115631874,1999,95,0,0,0,0,0,0,0,0,0,14,0,71,10,0,0,0,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,2996.91372416927,1999,949,0,0,0,0,48,658,30,183,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,2581.77529839334,1999,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1658.8508497201,1999,32715,0,0,0,0,0,0,0,19,0,0,0,0,32696,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,762.545715032314,1999,5310,2584,0,251,0,0,145,68,71,0,0,268,187,307,194,152,0,1082,1,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,9232.53642105133,1999,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JO,Jordan,country,Middle East and North Africa,30.585164,36.238414,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1785.6413523238,1999,20019,0,0,0,0,19,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0
KE,Kenya,country,Sub-Saharan Africa,-0.023559,37.906193,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,4911.45830668631,1999,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LA,Lao PDR,country,East Asia and Pacific,19.85627,102.495496,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,7815.64810113975,1999,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LB,Lebanon,country,Middle East and North Africa,33.854721,35.862285,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1510.0493752304,1999,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
MG,Madagascar,country,Sub-Saharan Africa,-18.766947,46.869107,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,7202.53125219592,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,6242.0808205116,1999,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,8894.95702942133,1999,112,0,0,6,0,0,0,0,0,0,10,0,17,39,40,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,10784.5177011794,1999,16,0,0,5,0,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MK,Macedonia,country,Europe and Central Asia,41.608635,21.745275,1707.40537972141,1999,4882,24,1345,7,0,0,316,53,54,0,0,638,74,465,413,192,5,1165,136,0,0,0,0,0
