sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,95,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,780,0,0,0,0,0,0,326,390,0,0,0,0,59,0,5,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,92,0,0,56,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,48,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,95,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,218,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,MN,Mongolia,country,East Asia and Pacific,46.862496,103.846656,1986,1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1200,0,0,0,0,0
