sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,70557,69446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,1249,461,0,2,0,0,11,0,113,0,0,0,0,6,2,65,0,303,286,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,861,0,0,0,0,0,0,0,0,0,0,0,0,147,0,72,0,0,642,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,6126,4051,0,41,180,0,1,17,0,8,1,267,6,41,4,23,0,575,911,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,259,0,0,5,0,4,20,0,0,0,0,0,16,214,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,309,0,0,0,0,0,0,6,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,364,0,0,0,0,0,19,0,0,0,0,0,0,103,0,0,0,0,242,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY,Cyprus,country,Europe and Central Asia,35.126413,33.429859,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,559,0,0,0,0,0,0,7,95,0,0,0,0,0,116,341,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,9084,25,1,6401,0,0,0,77,76,0,0,789,7,42,73,28,0,1003,562,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,97,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,10726,3208,1,1,0,29,2,18,2027,0,3,100,31,13,172,4815,0,228,78,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,29098,5,0,14,0,4,163,171,855,0,0,24681,0,5,2303,897,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,MT,Malta,country,Middle East and North Africa,35.937496,14.375416,1986,74,0,0,0,0,0,0,0,0,0,5,0,69,0,0,0,0,0,0,0,0,0,0,0
