sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,11070.4596802476,1990,17916,0,0,0,0,0,0,0,0,0,0,11000,0,0,6916,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,7735.58165713365,1990,60224,40460,3181,28,4896,0,0,493,1695,532,166,334,15,178,494,55,0,5531,2166,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,9444.78157506561,1990,874,25,0,0,19,0,96,3,0,0,0,54,0,0,276,0,1,401,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,3408.47130672742,1990,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,11417.3223837988,1990,10124,0,0,0,0,0,0,0,0,69,4,0,0,44,10007,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,6831.66861520101,1990,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,7754.16526543019,1990,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,15835.8403652045,1990,406,300,0,0,0,0,86,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0
KY,Cayman Islands,country,Latin America and the Caribbean,19.513469,-80.566956,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,15665.5489774647,1990,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,7770.45178057071,1990,149,3,0,0,0,0,0,6,3,4,0,0,2,131,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,7954.91267671833,1990,26675,24868,0,27,244,3,329,427,37,10,291,0,10,73,30,3,0,306,17,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,8443.0080103464,1990,5151,5026,0,0,0,0,16,8,9,87,0,2,0,1,0,0,0,2,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,14542.432011322,1990,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,1739.11234928113,1990,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,9642.79336010808,1990,668,7,0,0,0,0,0,0,20,0,0,0,4,223,0,10,0,194,210,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,MU,Mauritius,country,Sub-Saharan Africa,-20.348404,57.552152,9583.38005004416,1990,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0
