sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,10318.5311696182,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,7044.28550315178,1986,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,7669.02638515762,1986,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BW,Botswana,country,Sub-Saharan Africa,-22.328474,24.684866,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,1433.98486268047,1986,261,255,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,14201.8664900725,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,9559.85673936583,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,10275.2568468264,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,8074.9997405564,1986,873,242,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,614,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,7359.60279540832,1986,82,0,0,40,0,0,0,0,0,0,0,0,0,16,0,26,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,6170.21486200301,1986,21,2,0,0,0,1,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,8450.97616876908,1986,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,6529.03169766159,1986,27,3,0,0,0,0,0,1,0,0,0,0,1,1,12,3,0,2,4,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,12128.56732402,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
