sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,853319,510292,0,0,54198,0,273391,0,34,1262,0,0,10,135,13997,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,131127,113927,0,0,0,0,15400,0,0,1662,0,0,0,10,94,0,0,34,0,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,20945,0,0,0,0,0,0,0,0,147,0,433,0,4,274,5,0,1462,18515,105,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,3000,59,0,16,0,8,0,15,29,0,0,416,36,4,105,384,0,146,1782,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1776,0,104,0,0,37,0,0,0,0,647,255,0,627,106,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,278141,114766,39,19,660,0,126037,12,18,0,0,1705,0,2356,4488,14,46,4053,23966,8,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1230,0,0,0,0,0,0,0,394,0,0,799,0,34,0,3,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,153,0,0,0,0,0,45,10,13,0,0,0,6,79,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,56,4,0,0,0,0,0,39,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,4465,0,0,0,0,0,0,0,0,4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,160,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,29,105,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,8918,6,0,0,0,0,0,24,3,13,0,33,0,93,2,480,0,2,8262,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,11793,0,3,7000,0,0,157,363,0,713,0,0,0,3530,0,0,0,0,0,27,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,204,0,0,0,0,0,23,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,724,0,0,0,0,0,17,0,0,0,9,0,0,698,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,8492,0,0,0,0,0,0,0,0,0,0,0,0,8492,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,29620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,64,29525,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1002,800,0,0,0,0,0,0,111,0,0,19,0,14,0,58,0,0,0,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,19,0,0,0,0,0,5,0,0,0,0,5,0,2,0,7,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,6859,0,0,0,0,0,0,0,0,0,0,0,0,4748,2111,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,6457,0,402,0,0,0,0,0,0,0,42,0,2,260,17,88,8,176,5102,368,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,23205,0,0,0,0,0,0,0,0,128,0,433,0,0,274,0,0,1462,20803,105,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,140,0,0,9,0,0,0,0,0,0,0,30,0,0,0,0,0,0,101,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,620,0,0,0,0,0,0,0,0,0,7,348,0,12,253,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,32,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,12,6,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,136,0,0,0,0,0,0,0,0,0,41,0,0,95,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1578,0,0,1,2,185,172,56,20,0,87,0,0,425,49,573,0,8,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,3741,0,0,0,0,0,0,0,0,0,2355,0,0,1386,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,74,0,0,0,0,0,0,0,0,0,0,5,0,57,12,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,3926,16,0,28,0,0,0,0,0,0,0,38,0,45,1,1726,0,0,2072,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,3963198,1927423,3913,2913,112849,6020,1133082,11823,9249,16549,763,148577,799,48594,347197,7193,1163,58400,85801,42053,0,0,0,0
UY,Uruguay,country,Latin America and the Caribbean,-32.522779,-55.765835,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1330,0,0,0,0,0,0,0,0,312,0,0,0,40,0,0,0,0,978,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1986,1572,0,0,19,0,0,0,54,1296,0,0,200,0,0,0,3,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,54517,0,0,0,0,0,45616,0,0,802,0,0,11,443,7620,23,0,0,2,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,67758,58700,0,0,0,0,7500,0,0,1362,0,0,0,0,125,0,0,54,17,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,4604,0,0,0,0,0,0,0,0,36,0,3,0,7,4498,0,0,0,60,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,7990,0,0,0,0,20,3952,0,0,0,643,335,1,2969,70,0,0,0,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,2100,0,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,590202,193280,572,196,659,116,367842,47,2,0,0,5308,80,3033,749,118,48,5143,13057,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,728,0,0,0,0,0,0,0,13,0,0,537,0,67,0,111,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,2424,0,0,0,0,0,2118,10,7,0,0,0,2,287,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,34219,24108,0,0,0,0,10000,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,94,3,0,0,0,0,0,33,6,0,0,0,0,6,46,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,1399,0,0,0,0,0,90,0,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,1987,971,0,0,0,0,0,0,6,963,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
