sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,870,0,0,0,0,0,0,0,0,0,0,0,0,67,800,0,0,0,3,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,48,14,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,1281,0,0,0,290,44,0,0,116,768,24,0,0,39,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,2840,891,14,274,13,0,5,135,299,0,2,278,18,337,38,125,4,325,86,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,37,0,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0,0,0,0,0,0,0,0
MW,Malawi,country,Sub-Saharan Africa,-13.254308,34.301525,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,94,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,6247,5812,0,0,240,28,0,0,109,0,56,0,0,2,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZW,Zimbabwe,country,Sub-Saharan Africa,-19.015438,29.154857,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1987,2572,2572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1988,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1988,1537,168,67,54,0,0,1,34,5,0,2,0,0,2,1062,0,0,100,40,2,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NA,Namibia,country,Sub-Saharan Africa,-22.95764,18.49041,1988,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
