sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,74720,14417,777,3397,0,5,18,760,38969,8,2,1411,82,12903,556,768,7,204,443,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,10716,3834,130,615,2,0,0,1165,546,12,0,1460,40,35,32,922,13,550,1373,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,62,4,0,0,0,0,0,41,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,430,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,420,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,114,95,0,1,0,0,0,6,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,30145,4721,365,1421,129,39,121,1986,842,12,38,920,170,1131,1537,8924,0,3602,4187,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,28,11,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,11,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,213,0,0,7,0,1,0,21,8,0,0,2,0,24,0,150,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,54,25,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,2755,404,49,1,0,0,0,0,28,0,0,1,19,5,92,1485,0,463,208,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,7957,3483,26,607,2,0,0,1058,562,12,0,1028,36,28,15,5,13,548,547,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,6,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,324,40,0,0,0,6,223,0,8,0,2,0,0,7,38,0,0,0,0,0,0,0,0,0
SB,Solomon Islands,country,East Asia and Pacific,-9.64571,160.156194,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,1251,1216,0,0,3,0,0,0,8,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1986,518,0,0,20,0,0,0,0,0,0,0,0,2,2,0,494,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,25549,12532,683,3990,0,9,7,745,2757,5,1,1413,113,68,733,1632,0,284,577,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,3019,826,142,12,0,0,0,127,5,0,0,216,118,17,174,822,0,1,559,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,43,2,0,0,0,0,0,22,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,489,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,482,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,120,119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,35066,9999,233,880,123,26,132,2345,712,1,15,1116,249,1370,1395,8397,1,4117,3956,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,230,0,0,0,0,0,1,1,0,0,0,0,0,217,0,11,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,16,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,68,0,0,9,0,3,0,0,0,0,0,0,0,9,0,47,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,52,30,0,0,0,0,1,0,0,0,0,2,0,18,0,1,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,2572,286,26,1,0,0,0,6,42,0,0,5,8,2,132,1401,0,449,214,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,8098,2356,807,663,3,0,0,974,219,0,0,1113,44,21,18,3,13,1273,604,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,312,44,0,0,1,8,193,0,19,0,3,0,0,16,23,5,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,141,0,0,0,0,0,0,29,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,2831,2738,0,2,7,0,0,5,30,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1987,446,0,0,2,0,0,0,0,0,0,0,4,0,1,0,419,0,0,20,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,24883,12151,1095,1978,2,11,15,1205,4183,10,9,1557,68,106,677,1117,0,397,302,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,3094,519,243,11,0,0,0,158,0,0,0,0,59,4,329,1375,0,3,393,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,161,0,17,0,0,0,0,0,0,0,0,0,0,97,0,0,1,47,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,34,3,0,0,0,0,1,9,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NC,New Caledonia,country,East Asia and Pacific,-20.904305,165.618042,1988,474,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,466,0,0,0,0,0,0
