sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,18947,0,22,17721,0,0,0,0,3,0,0,0,2,65,0,0,0,0,1134,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,47,0,0,0,0,0,0,0,0,0,0,0,16,31,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,30694,30694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,244,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,48222,7669,1,38475,0,0,30,134,79,0,20,8,15,419,116,684,98,15,557,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,3177,1115,0,0,0,0,0,2010,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Morocco,country,Middle East and North Africa,31.791702,-7.09262,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,3266,216,0,40,0,0,0,25,1,0,0,0,0,53,15,322,8,2,2592,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,0,0,0,0,0
NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,1310,0,0,0,0,0,60,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,667,0,0,36,0,0,0,0,6,0,0,0,0,385,0,240,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,NE,Niger,country,Sub-Saharan Africa,17.607789,8.081666,1986,207,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,9,0,0,0,0,0,0
