sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1986,1488,35,32,5,0,0,0,0,766,0,0,30,0,13,0,576,0,26,5,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1986,479,32,30,30,0,0,0,46,58,0,0,2,8,0,15,16,0,73,169,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1986,479,32,30,30,0,0,0,46,58,0,0,2,8,0,15,16,0,73,169,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1987,1020,32,15,26,0,0,0,52,142,0,0,46,0,7,0,670,0,30,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1987,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1987,747,28,29,29,0,0,0,38,63,0,0,2,11,0,19,10,0,95,423,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1988,460,77,2,14,0,0,0,14,0,0,0,79,17,6,3,212,2,30,6,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1988,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1988,576,8,11,3,0,0,0,34,38,0,0,0,5,12,13,12,0,52,388,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1989,701,41,0,10,0,0,0,10,0,0,0,74,15,5,3,498,1,35,10,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1989,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1989,576,8,11,3,0,0,0,34,38,0,0,0,5,12,13,12,0,52,388,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1990,1025,10,17,4,0,0,0,2,43,306,0,66,3,6,0,545,2,6,17,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1990,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1990,359,20,7,20,0,0,0,44,54,0,0,1,1,0,16,11,0,57,128,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1990,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1991,608,12,2,3,6,0,0,3,8,17,0,28,6,3,0,482,3,35,3,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1991,21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1991,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1991,535,68,28,35,0,0,0,59,47,0,0,2,2,0,10,18,0,94,172,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1992,770,74,6,4,11,0,0,6,15,0,0,26,2,4,41,495,1,62,24,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1992,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1992,626,56,32,27,102,0,0,63,22,0,0,6,5,0,16,16,0,83,198,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1992,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1993,722,60,2,10,0,0,0,1,6,0,0,49,2,3,14,512,2,63,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1993,64,0,0,0,0,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NF,Norfolk Island,country,East Asia and Pacific,-29.040835,167.954712,1993,592,62,21,18,1,0,0,39,13,0,0,4,5,0,27,112,0,74,216,0,0,0,0,0
