sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,9140.57494803606,1986,42864,34967,0,0,0,0,7897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,13971.6336061906,1986,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,4314.2920767813,1986,9349,8530,0,0,0,0,0,0,31,0,0,0,88,0,0,0,0,0,700,0,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,8771.91257956289,1986,3705,0,0,0,0,0,0,0,0,3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,4627.34144914196,1986,61419,7576,119,46568,0,0,4139,0,12,0,0,4,48,95,2159,7,3,100,592,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,699.275331128129,1986,1799,0,0,0,0,0,0,0,0,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,7176.35076584854,1986,86430,110,0,84430,0,0,1681,0,0,0,0,90,0,0,118,0,0,0,0,1,0,0,0,0
BF,Burkina Faso,country,Sub-Saharan Africa,12.238333,-1.561593,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1173.52319110555,1986,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0
CM,Cameroon,country,Sub-Saharan Africa,7.369722,12.354722,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,447.940664007704,1986,4796,0,0,0,0,0,0,0,0,2794,0,0,0,0,2000,2,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,10668.5613645531,1986,55422,49850,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5565,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,1303.22164789023,1986,1853,0,0,0,0,0,0,0,0,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,9736.57517497552,1986,500,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NG,Nigeria,country,Sub-Saharan Africa,9.081999,8.675277,11191.4700865662,1986,4330,20,0,0,0,0,0,0,0,0,15,0,0,0,4295,0,0,0,0,0,0,0,0,0
