sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NP,Nepal,country,South Asia,28.394857,84.124008,1986,427,0,0,0,0,0,0,0,17,0,0,0,0,0,44,13,0,0,353,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NP,Nepal,country,South Asia,28.394857,84.124008,1986,1066,0,0,80,0,0,0,0,3,556,0,0,0,0,0,0,0,0,427,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,NP,Nepal,country,South Asia,28.394857,84.124008,1986,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NP,Nepal,country,South Asia,28.394857,84.124008,1986,246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,245,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,NP,Nepal,country,South Asia,28.394857,84.124008,1986,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42,0,8,5,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NP,Nepal,country,South Asia,28.394857,84.124008,1986,1524,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NP,Nepal,country,South Asia,28.394857,84.124008,1986,29295,5376,1704,3030,303,0,28,1465,388,1498,2103,1279,674,8842,2272,23,270,11,299,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,NP,Nepal,country,South Asia,28.394857,84.124008,1986,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NP,Nepal,country,South Asia,28.394857,84.124008,1986,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NP,Nepal,country,South Asia,28.394857,84.124008,1986,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,NP,Nepal,country,South Asia,28.394857,84.124008,1986,734,0,0,0,0,0,0,0,0,0,0,0,0,12,722,0,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,NP,Nepal,country,South Asia,28.394857,84.124008,1986,2332,1900,0,0,0,0,0,0,1,0,0,0,0,4,112,15,0,0,300,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NP,Nepal,country,South Asia,28.394857,84.124008,1986,559,0,0,0,0,0,0,0,3,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NP,Nepal,country,South Asia,28.394857,84.124008,1986,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NP,Nepal,country,South Asia,28.394857,84.124008,1986,23,1,0,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NP,Nepal,country,South Asia,28.394857,84.124008,1986,4583,3,0,0,0,0,0,0,0,0,45,0,0,9,4462,58,0,3,3,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,NP,Nepal,country,South Asia,28.394857,84.124008,1986,5888,0,0,0,0,0,0,0,0,0,0,0,0,0,5886,2,0,0,0,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,NP,Nepal,country,South Asia,28.394857,84.124008,1986,21,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,NP,Nepal,country,South Asia,28.394857,84.124008,1986,15207,0,0,15091,0,0,0,0,0,0,0,0,0,19,50,0,0,0,47,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NP,Nepal,country,South Asia,28.394857,84.124008,1986,91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,86,2,0,3,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,NP,Nepal,country,South Asia,28.394857,84.124008,1986,4294,2719,0,0,0,93,0,0,0,0,0,0,0,5,77,0,12,0,1400,0,0,0,0,0
