sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,2658,95,5,260,21,9,0,81,48,0,0,27,27,74,23,1422,40,394,172,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,179,6,2,24,0,0,3,39,8,0,0,0,5,0,0,0,0,47,45,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,7,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,210,172,6,0,0,0,0,18,0,0,0,0,0,0,0,0,2,13,1,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,41,0,0,0,0,0,9,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,179,6,2,24,0,0,3,39,8,0,0,0,5,0,0,0,0,47,45,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1986,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,1902,76,7,184,0,0,0,53,15,0,0,42,4,23,4,1083,2,292,119,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,225,79,15,0,0,0,0,17,2,0,0,0,0,0,0,0,1,103,9,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,7,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,112,12,0,22,0,0,0,8,6,0,0,1,1,0,0,8,0,45,9,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1987,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,2364,245,0,263,0,0,1,93,28,0,0,18,11,35,38,630,0,782,220,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,137,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,86,46,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,21,7,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,16005,1,0,0,0,0,4,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,4455,273,14,250,0,0,3,96,40,0,0,103,16,1356,43,1449,0,599,213,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1989,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,2344,243,35,298,1,3,8,50,13,0,0,1,32,28,34,899,0,493,206,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJ,Fiji,country,East Asia and Pacific,-16.578193,179.414413,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,337,25,39,0,0,0,1,28,18,0,0,0,0,3,2,57,0,139,25,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,6,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,196,6,4,18,0,0,0,21,13,0,0,0,0,0,7,17,0,77,33,0,0,0,0,0
PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1990,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,NR,Nauru,country,East Asia and Pacific,-0.522778,166.931503,1991,2870,212,14,314,0,0,14,34,78,16,0,2,12,24,7,1370,0,564,209,0,0,0,0,0
