sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,14398,0,0,0,976,0,0,20,157,0,0,0,0,0,13221,24,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,122,0,0,0,0,0,0,0,107,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0
BS,The Bahamas,country,Latin America and the Caribbean,25.03428,-77.39628,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,5117,530,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,4567,0,0,0,0,0
BZ,Belize,country,Latin America and the Caribbean,17.189877,-88.49765,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,6194,9,0,70,0,0,1000,13,0,493,6,4350,0,111,3,138,0,0,1,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,4869,518,80,50,1322,0,0,4,189,0,0,0,0,140,333,100,0,1399,727,7,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,5224,53,0,33,1394,0,0,98,3326,0,0,0,43,54,0,223,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,501,54,4,7,19,2,68,120,22,0,12,0,12,126,33,21,0,1,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,515,204,0,0,0,0,7,267,31,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,3834,458,0,36,0,0,0,5,4,0,0,2350,793,147,0,41,6,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,3072,326,0,27,12,0,12,315,464,5,5,778,172,388,40,0,0,417,111,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,3646,2132,0,1,0,0,0,0,12,0,0,0,4,0,0,29,0,1242,226,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,331,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,7367,6525,0,0,0,0,1,2,67,0,1,0,0,0,8,738,0,0,25,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,140,27,0,0,0,2,3,9,68,0,1,0,0,10,0,7,0,0,13,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,2055,855,0,702,0,0,0,272,16,35,0,2,4,169,0,0,6,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,37,0,0,0,0,0,0,21,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,34,0,0,0,0,0,0,0,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,1094,0,0,0,0,0,0,0,0,0,0,0,0,69,0,31,0,0,994,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,24,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,362,121,0,21,0,0,0,62,1,0,0,4,1,3,3,143,0,0,3,0,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,47,0,0,0,0,0,3,1,0,0,0,13,0,28,0,2,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,4843,303,0,127,0,0,0,205,26,0,0,8,3894,13,0,116,0,151,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,4951,6,469,0,0,0,0,2368,0,1,0,13,105,703,21,510,0,130,625,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,4577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4567,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,95939,0,0,0,0,0,95913,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,137,0,0,0,0,0,0,135,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,72,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,58,0,0,0,0,0,0,5,0,0,0,0,0,39,0,14,0,0,0,0,0,0,0,0
SG,Singapore,country,East Asia and Pacific,1.352083,103.819836,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,78,8,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,Spain,country,Europe and Central Asia,40.463667,-3.74922,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,1495,0,0,107,0,0,174,136,28,0,26,12,69,38,126,596,0,180,3,0,0,0,0,0
LK,Sri Lanka,country,South Asia,7.873054,80.771797,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
SE,Sweden,country,Europe and Central Asia,60.128161,18.643501,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
CH,Switzerland,country,Europe and Central Asia,46.818188,8.227512,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,418,0,0,7,0,0,0,0,0,0,0,0,15,396,0,0,0,0,0,0,0,0,0,0
TH,Thailand,country,East Asia and Pacific,15.870032,100.992541,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
TT,Trinidad and Tobago,country,Latin America and the Caribbean,10.691803,-61.222503,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TR,Turkey,country,Europe and Central Asia,38.963745,35.243322,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,41,0,0,0,20,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0
GB,United Kingdom,country,Europe and Central Asia,55.378051,-3.435973,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,3937,165,0,31,0,8,0,19,0,1,10,38,21,74,30,2935,2,23,582,0,0,0,0,0
US,USA,country,North America,37.09024,-95.712891,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,181711,103814,59,652,6260,440,414,3815,13771,177,180,31557,901,5689,8573,2889,81,1799,721,0,0,0,0,0
RU,Russian Federation,country,Europe and Central Asia,61.52401,105.318756,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0
VE,Venezuela,country,Latin America and the Caribbean,6.42375,-66.58973,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,572,454,0,9,0,0,0,0,0,0,0,0,0,0,0,18,0,91,0,0,0,0,0,0
BA,Bosnia & Herzegovina,country,Europe and Central Asia,43.915886,17.679076,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1986,29496,29156,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,16750,39,0,23,18,0,4,0,230,140,0,0,0,6,16179,31,0,80,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BB,Barbados,country,Latin America and the Caribbean,13.193887,-59.543198,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2549,2516,0,0,0,0,0,0,0,0,0,12,0,4,0,17,0,0,0,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,374,2,0,117,0,0,0,27,5,0,0,45,27,143,0,0,0,8,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,12653,6862,16,21,3384,5,18,14,38,0,0,34,0,278,70,125,5,1615,173,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,6803,166,0,64,36,0,0,2678,3401,0,0,0,112,112,0,226,0,0,8,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,608,75,4,11,21,18,100,99,49,0,10,3,8,175,3,32,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,39,0,0,0,0,0,0,1,0,5,6,0,0,11,0,16,0,0,0,0,0,0,0,0
TW,Taiwan,country,East Asia and Pacific,23.69781,120.960515,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,381,195,0,0,0,0,8,149,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
CO,Colombia,country,Latin America and the Caribbean,4.570868,-74.297333,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2707,388,0,55,0,0,0,5,146,0,0,1126,758,42,0,25,15,162,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2895,258,0,45,40,0,26,408,301,27,7,785,182,390,60,18,0,310,38,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,3615,1855,0,0,0,0,0,0,16,0,0,0,2,2,0,36,0,1368,336,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,234,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,5731,5000,0,0,0,0,1,2,0,0,0,0,0,5,10,689,0,0,24,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,84,0,0,0,0,0,0,13,60,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2512,1166,5,584,0,0,0,63,368,0,0,0,8,298,0,20,1,0,0,0,0,0,0,0
HN,Honduras,country,Latin America and the Caribbean,15.199999,-86.241905,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,36,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,23,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,1079,0,0,0,0,0,0,0,0,0,0,0,0,28,0,16,0,0,1035,0,0,0,0,0
IL,Israel,country,Middle East and North Africa,31.046051,34.851612,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,298,93,0,0,0,0,0,43,4,0,0,3,0,4,4,145,0,0,2,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,49,1,0,0,0,0,11,0,0,0,0,8,0,28,0,1,0,0,0,0,0,0,0,0
MY,Malaysia,country,East Asia and Pacific,4.210484,101.975766,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,374,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0
MX,Mexico,country,Latin America and the Caribbean,23.634501,-102.552784,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,5518,394,0,907,200,0,0,96,167,4,5,26,3456,214,0,49,0,0,0,0,0,0,0,0
NL,Netherlands,country,Europe and Central Asia,52.132633,5.291266,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,4178,2,394,0,1,0,0,1499,0,2,0,14,124,624,0,433,0,81,1004,0,0,0,0,0
NZ,New Zealand,country,East Asia and Pacific,-40.900557,174.885971,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2857,0,0,0,0,0
NO,Norway,country,Europe and Central Asia,60.472024,8.468946,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PY,Paraguay,country,Latin America and the Caribbean,-23.442503,-58.443832,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,220266,0,0,0,0,0,209099,0,0,367,0,8800,0,0,2000,0,0,0,0,0,0,0,0,0
PE,Peru,country,Latin America and the Caribbean,-9.189967,-75.015152,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,125,0,0,0,0,0,0,115,0,0,3,0,0,5,0,2,0,0,0,0,0,0,0,0
PL,Poland,country,Europe and Central Asia,51.919438,19.145136,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,137,0,0,0,0,0,0
PT,Portugal,country,Europe and Central Asia,39.399872,-8.224454,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,2389,0,0,0,0,0,0,0,0,0,0,0,0,269,2000,120,0,0,0,0,0,0,0,0
KR,"Korea, Rep.",country,East Asia and Pacific,35.907757,127.766922,PA,Panama,country,Latin America and the Caribbean,8.537981,-80.782127,1987,83,0,0,0,0,0,2,11,0,0,0,0,0,63,0,7,0,0,0,0,0,0,0,0
