sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,72,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,10,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,209068,162508,0,37,684,0,13,137,576,1724,0,19668,4,1891,2415,66,12,166,19179,0,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,11158,500,0,1458,20,0,0,42,55,16,0,2535,1,333,12,1,0,60,6125,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,32960,0,0,0,0,0,0,0,23,0,0,31320,0,1617,0,0,0,0,0,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,77,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,25141,22346,18,18,21,0,0,0,0,0,0,0,0,503,264,0,55,20,1951,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,157,0,0,0,0,0,0,133,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,PH,Philippines,country,East Asia and Pacific,12.879721,121.774017,1986,34844,5816,28,795,7668,39,3517,893,2473,3757,37,4066,267,3788,545,486,0,216,453,0,0,0,0,0
