sourceCode,sourceName,sourceGrouping,sourceRegion,sourceLat,sourceLong,destCode,destName,destGrouping,destRegion,destLat,destLong,distance,year,totalTons,cereals,roots,sugarCrops,pulses,nuts,oilCrops,vegetables,fruits,fibers,spices,fodderCrops,coffeeTea,tobaccoRubber,oilsFats,beverages,livestock,animalMeats,animalProducts,animalHides,nimalOther,pesticides,fertilizers,machinery
AF,Afghanistan,country,South Asia,33.93911,67.709953,PK,Pakistan,country,South Asia,30.375321,69.345116,425.577336776719,1989,10116,0,0,0,371,1,865,8,7073,0,1075,0,18,0,600,5,0,0,91,9,0,0,0,0
DZ,Algeria,country,Middle East and North Africa,28.033886,1.659626,PK,Pakistan,country,South Asia,30.375321,69.345116,6480.00096553786,1989,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
AR,Argentina,country,Latin America and the Caribbean,-38.416097,-63.616672,PK,Pakistan,country,South Asia,30.375321,69.345116,15673.1386809175,1989,1160,0,0,0,0,0,0,0,0,12,0,0,1148,0,0,0,0,0,0,0,0,0,0,0
AU,Australia,country,East Asia and Pacific,-25.274398,133.775136,PK,Pakistan,country,South Asia,30.375321,69.345116,9246.21845319827,1989,330395,291108,0,0,21,0,0,0,0,1612,0,0,0,0,37334,34,1,0,266,20,0,0,0,0
AT,Austria,country,Europe and Central Asia,47.516231,14.550072,PK,Pakistan,country,South Asia,30.375321,69.345116,4993.88105393516,1989,263,0,0,244,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
BH,Bahrain,country,Middle East and North Africa,25.930414,50.637772,PK,Pakistan,country,South Asia,30.375321,69.345116,1899.02253268179,1989,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
BD,Bangladesh,country,South Asia,23.684994,90.356331,PK,Pakistan,country,South Asia,30.375321,69.345116,2208.29163869853,1989,45893,0,0,0,0,0,0,0,0,36363,0,0,9530,0,0,0,0,0,0,0,0,0,0,0
BE,Belgium,country,Europe and Central Asia,50.503887,4.469936,PK,Pakistan,country,South Asia,30.375321,69.345116,5727.48876938793,1989,19735,3220,0,14853,0,0,0,0,0,48,0,592,25,33,14,0,2,0,950,0,0,0,0,0
BJ,Benin,country,Sub-Saharan Africa,9.30769,2.315834,PK,Pakistan,country,South Asia,30.375321,69.345116,7295.99602151528,1989,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
BT,Bhutan,country,South Asia,27.514162,90.433601,PK,Pakistan,country,South Asia,30.375321,69.345116,2075.74525645483,1989,65,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,13,0,0,0,0,0
BR,Brazil,country,Latin America and the Caribbean,-14.235004,-51.92528,PK,Pakistan,country,South Asia,30.375321,69.345116,13797.6448098766,1989,1630,0,0,1109,0,0,0,0,0,0,89,0,328,45,53,0,0,0,6,0,0,0,0,0
BN,Brunei Darussalam,country,,4.535277,114.727669,PK,Pakistan,country,South Asia,30.375321,69.345116,5555.51120134,1989,60,0,0,0,0,0,45,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0
BG,Bulgaria,country,Europe and Central Asia,42.733883,25.48583,PK,Pakistan,country,South Asia,30.375321,69.345116,4103.74221631303,1989,19977,0,0,0,0,0,0,0,0,0,0,2,0,0,19975,0,0,0,0,0,0,0,0,0
BI,Burundi,country,Sub-Saharan Africa,-3.373056,29.918886,PK,Pakistan,country,South Asia,30.375321,69.345116,5626.37285069259,1989,1173,0,0,0,0,0,0,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0
KH,Cambodia,country,East Asia and Pacific,12.565679,104.990963,PK,Pakistan,country,South Asia,30.375321,69.345116,4164.51213261486,1989,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
CA,Canada,country,North America,56.130366,-106.346771,PK,Pakistan,country,South Asia,30.375321,69.345116,10399.0587677442,1989,30796,30791,0,5,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0
CF,Central African Rep.,country,Sub-Saharan Africa,6.611111,20.939444,PK,Pakistan,country,South Asia,30.375321,69.345116,5695.21242875954,1989,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
TD,Chad,country,Sub-Saharan Africa,15.454166,18.732207,PK,Pakistan,country,South Asia,30.375321,69.345116,5400.86368396716,1989,13,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
CL,Chile,country,Latin America and the Caribbean,-35.675147,-71.542969,PK,Pakistan,country,South Asia,30.375321,69.345116,16364.075780119,1989,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HK,Hong Kong,country,East Asia and Pacific,22.396428,114.109497,PK,Pakistan,country,South Asia,30.375321,69.345116,4522.17029831529,1989,505,0,0,0,122,0,0,0,0,51,178,0,138,16,0,0,0,0,0,0,0,0,0,0
CN,China,country,East Asia and Pacific,35.86166,104.195397,PK,Pakistan,country,South Asia,30.375321,69.345116,3288.28987318453,1989,55034,0,0,27961,14202,0,50,35,0,1725,1693,2233,6985,2,148,0,0,0,0,0,0,0,0,0
KM,Comoros,country,Sub-Saharan Africa,-11.875001,43.872219,PK,Pakistan,country,South Asia,30.375321,69.345116,5437.02993931789,1989,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CR,Costa Rica,country,Latin America and the Caribbean,9.748917,-83.753428,PK,Pakistan,country,South Asia,30.375321,69.345116,14724.3348310537,1989,33,0,0,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
CZ,Czech Republic,country,Europe and Central Asia,49.817492,15.472962,PK,Pakistan,country,South Asia,30.375321,69.345116,4942.15068697738,1989,3343,0,0,3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,"Korea, Dem. Rep.",country,East Asia and Pacific,40.339852,127.510093,PK,Pakistan,country,South Asia,30.375321,69.345116,5299.79912620137,1989,7618,29,0,0,0,0,33,0,0,0,7281,0,43,23,205,0,0,0,4,0,0,0,0,0
CD,"Congo, Dem. Rep.",country,Sub-Saharan Africa,-4.038333,21.758664,PK,Pakistan,country,South Asia,30.375321,69.345116,6343.70426692461,1989,483,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0
DK,Denmark,country,Europe and Central Asia,56.26392,9.501785,PK,Pakistan,country,South Asia,30.375321,69.345116,5410.98013770083,1989,1295,73,0,0,44,0,0,0,0,0,2,0,57,52,193,77,7,0,797,0,0,0,0,0
DO,Dominican Republic,country,Latin America and the Caribbean,18.735693,-70.162651,PK,Pakistan,country,South Asia,30.375321,69.345116,13059.6840746636,1989,76,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
EC,Ecuador,country,Latin America and the Caribbean,-1.831239,-78.183406,PK,Pakistan,country,South Asia,30.375321,69.345116,15366.7939786337,1989,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EG,Egypt,country,Middle East and North Africa,26.820553,30.802498,PK,Pakistan,country,South Asia,30.375321,69.345116,3769.93029474242,1989,67,0,0,0,0,0,0,0,0,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0
FK,Falkland Islands,country,,-51.796253,-59.523613,PK,Pakistan,country,South Asia,30.375321,69.345116,15258.5962218179,1989,119,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0
FI,Finland,country,Europe and Central Asia,61.92411,25.748151,PK,Pakistan,country,South Asia,30.375321,69.345116,4703.29272380525,1989,28,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
FR,France,country,Europe and Central Asia,46.227638,2.213749,PK,Pakistan,country,South Asia,30.375321,69.345116,5937.69010677475,1989,21947,21000,56,219,0,0,0,0,0,36,19,0,8,91,224,16,101,0,62,216,0,0,0,0
GH,Ghana,country,Sub-Saharan Africa,7.946527,-1.023194,PK,Pakistan,country,South Asia,30.375321,69.345116,7690.5379522094,1989,248,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0
GR,Greece,country,Europe and Central Asia,39.074208,21.824312,PK,Pakistan,country,South Asia,30.375321,69.345116,4402.98535543037,1989,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
GT,Guatemala,country,Latin America and the Caribbean,15.783471,-90.230759,PK,Pakistan,country,South Asia,30.375321,69.345116,14452.2737791211,1989,350,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0
GN,Guinea,country,Sub-Saharan Africa,9.945587,-9.696645,PK,Pakistan,country,South Asia,30.375321,69.345116,8414.5711174689,1989,73,0,0,0,0,0,25,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
HT,Haiti,country,Latin America and the Caribbean,18.971187,-72.285215,PK,Pakistan,country,South Asia,30.375321,69.345116,13177.6814146131,1989,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
HU,Hungary,country,Europe and Central Asia,47.162494,19.503304,PK,Pakistan,country,South Asia,30.375321,69.345116,4618.5022544836,1989,292,0,0,0,289,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,India,country,South Asia,20.593684,78.96288,PK,Pakistan,country,South Asia,30.375321,69.345116,1454.48105036687,1989,10264,0,369,1,0,0,121,7184,42,0,806,0,1741,0,0,0,0,0,0,0,0,0,0,0
ID,Indonesia,country,East Asia and Pacific,-0.789275,113.921327,PK,Pakistan,country,South Asia,30.375321,69.345116,5854.28796923267,1989,26382,0,0,0,0,8,0,6481,5,0,625,0,18480,754,29,0,11,0,0,0,0,0,0,0
IR,Iran,country,Middle East and North Africa,32.427908,53.688046,PK,Pakistan,country,South Asia,30.375321,69.345116,1503.68943122037,1989,307,0,0,0,0,0,0,0,238,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
IQ,Iraq,country,Middle East and North Africa,33.223191,43.679291,PK,Pakistan,country,South Asia,30.375321,69.345116,2442.65628796591,1989,11707,0,0,0,0,0,0,0,11707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE,Ireland,country,Europe and Central Asia,53.41291,-8.24389,PK,Pakistan,country,South Asia,30.375321,69.345116,6556.6592322392,1989,2313,400,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1891,0,0,0,0,0
IT,Italy,country,Europe and Central Asia,41.87194,12.56738,PK,Pakistan,country,South Asia,30.375321,69.345116,5166.36992620222,1989,846,0,0,393,0,0,0,0,12,0,0,0,0,10,0,0,53,0,413,18,0,0,0,0
JM,Jamaica,country,Latin America and the Caribbean,18.109581,-77.297508,PK,Pakistan,country,South Asia,30.375321,69.345116,13564.5186598733,1989,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
JP,Japan,country,East Asia and Pacific,36.204824,138.252924,PK,Pakistan,country,South Asia,30.375321,69.345116,6310.43555597532,1989,1489,666,0,0,0,0,110,15,0,157,12,0,168,44,232,0,0,0,85,0,0,0,0,0
